q_relative,buyer_type,mean_rate,se,n
-12,Corporate,0.0124765745935588,0.000458088148358236,59062
-12,Individual,0.00862228864538673,0.000280818772753312,104437
-11,Corporate,0.0128503290066221,0.000458134048434356,58966
-11,Individual,0.00834857306539857,0.000276197396920807,104636
-10,Corporate,0.0126403470491729,0.000483016945800214,58635
-10,Individual,0.00869431990533941,0.000282570327829048,104885
-9,Corporate,0.0128602129522924,0.000463634605257011,58161
-9,Individual,0.00922560095295023,0.000290940790953946,104690
-8,Corporate,0.0118058570638882,0.00044452294179166,57612
-8,Individual,0.0090431134918363,0.000290032735221053,104702
-7,Corporate,0.0117108622183752,0.000445184939415888,56884
-7,Individual,0.00957033452474865,0.00029578265505034,104952
-6,Corporate,0.0115876374180447,0.000443397921745052,56472
-6,Individual,0.0102561074753952,0.00030422730804689,105431
-5,Corporate,0.0120077812355694,0.000450365976004066,56246
-5,Individual,0.0108761770819845,0.000314862083685812,106167
-4,Corporate,0.0120059031179916,0.000457173960817592,56022
-4,Individual,0.0128749938338669,0.000341424013366454,107294
-3,Corporate,0.0120104619379804,0.000454526927972687,55884
-3,Individual,0.0137020686397535,0.000347950995156357,108601
-2,Corporate,0.0146958185671968,0.000504871660609125,55877
-2,Individual,0.014285300299246,0.000353759487506966,110326
-1,Corporate,0.0129276307965137,0.000483358449405984,56381
-1,Individual,0.00933856920523948,0.000281921818723362,113447
0,Corporate,0.011216654661881,0.000456950031857681,56397
0,Individual,0.00596855161197528,0.000222656544703627,115171
1,Corporate,0.0143620990433559,0.0005551288476865,56132
1,Individual,0.00738916924629706,0.000247477263382551,116947
2,Corporate,0.0158307211714654,0.000540198924291645,55838
2,Individual,0.00934878062288362,0.00027739076726673,119191
3,Corporate,0.0200113991013812,0.000589707933945898,55760
3,Individual,0.0110450587766221,0.000295013857301209,121570
4,Corporate,0.0216792374816159,0.000605651632940504,55413
4,Individual,0.0123476491280571,0.000310322996537477,123304
5,Corporate,0.0221861605877549,0.000617011685356546,55024
5,Individual,0.0126459282621503,0.000350914085416679,125238
6,Corporate,0.0231496098541403,0.000636309952255162,54630
6,Individual,0.0129004897961427,0.000330154287544349,126734
7,Corporate,0.0239309558026449,0.000647624709020471,54231
7,Individual,0.0129684324744761,0.000359433895771874,127748
8,Corporate,0.0244527440447255,0.000656432754337518,53622
8,Individual,0.0134629631245894,0.000361917758367878,128815
9,Corporate,0.0239353272575067,0.000652977903963438,53121
9,Individual,0.0132825154511127,0.000348625515244549,129767
10,Corporate,0.0243595541324605,0.000666196682097636,52498
10,Individual,0.0134849282038392,0.000342186542842034,130488
11,Corporate,0.0256755414296459,0.000686487814856658,51844
11,Individual,0.0137895261261558,0.000358005340261051,130918
12,Corporate,0.0243853054906727,0.00067656152402439,50935
12,Individual,0.0129400556417827,0.000324108135092588,131354
13,Corporate,0.0247086459825921,0.000699873723545054,50310
13,Individual,0.0131861031473156,0.000323272297352015,131847
14,Corporate,0.0233053621303449,0.000667317309620471,49562
14,Individual,0.0133606290320569,0.000362439912810627,132246
15,Corporate,0.0226928444965222,0.000667537906211495,48627
15,Individual,0.013434572665763,0.000333059725350323,132578
16,Corporate,0.023920838292097,0.000702485321180741,47748
16,Individual,0.0135143342320504,0.000354877023695876,132827
17,Corporate,0.0240791749727351,0.000688847542542117,47032
17,Individual,0.0136444274825927,0.000356176984307169,133168
18,Corporate,0.0224774678867671,0.000670009765483917,46450
18,Individual,0.0128800391937385,0.000337974000845259,133513
19,Corporate,0.0232308295404569,0.000693095027202085,46042
19,Individual,0.0134928243982227,0.000351431216750504,133865
20,Corporate,0.0233067129329113,0.000703923278292674,45710
20,Individual,0.0139540425791944,0.000358892997708896,134161
