term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.001738,0.001128,1.54,0.1236,no_sheriff,768322,0.2451
q_relative::-11,0.000135,0.001105,0.12,0.9029,no_sheriff,768322,0.2451
q_relative::-10,0.000499,0.00105,0.48,0.6347,no_sheriff,768322,0.2451
q_relative::-9,0.000552,0.000981,0.56,0.5739,no_sheriff,768322,0.2451
q_relative::-8,-0.001033,0.00092,-1.12,0.2613,no_sheriff,768322,0.2451
q_relative::-7,-0.000354,0.000919,-0.38,0.7004,no_sheriff,768322,0.2451
q_relative::-6,-0.001625,0.000871,-1.87,0.0621,no_sheriff,768322,0.2451
q_relative::-5,0.000656,0.000885,0.74,0.4583,no_sheriff,768322,0.2451
q_relative::-3,-0.00096,0.00087,-1.1,0.2702,no_sheriff,768322,0.2451
q_relative::-2,-0.001117,0.000921,-1.21,0.225,no_sheriff,768322,0.2451
q_relative::-1,0.001546,0.000971,1.59,0.1115,no_sheriff,768322,0.2451
q_relative::0,-0.001198,9e-04,-1.33,0.183,no_sheriff,768322,0.2451
q_relative::1,0.007321,0.000967,7.57,0,no_sheriff,768322,0.2451
q_relative::2,0.007388,0.000957,7.72,0,no_sheriff,768322,0.2451
q_relative::3,0.00614,0.000942,6.52,0,no_sheriff,768322,0.2451
q_relative::4,0.005302,0.000916,5.79,0,no_sheriff,768322,0.2451
q_relative::5,0.004482,0.00091,4.92,0,no_sheriff,768322,0.2451
q_relative::6,0.00301,0.000905,3.32,9e-04,no_sheriff,768322,0.2451
q_relative::7,0.003107,0.000918,3.38,7e-04,no_sheriff,768322,0.2451
q_relative::8,0.001621,0.000944,1.72,0.0859,no_sheriff,768322,0.2451
q_relative::9,0.001202,0.000951,1.26,0.2062,no_sheriff,768322,0.2451
q_relative::10,0.001459,0.000977,1.49,0.1354,no_sheriff,768322,0.2451
q_relative::11,-0.000645,0.001006,-0.64,0.521,no_sheriff,768322,0.2451
q_relative::12,-0.000691,0.001017,-0.68,0.4968,no_sheriff,768322,0.2451
q_relative::13,-0.005157,0.001032,-5,0,no_sheriff,768322,0.2451
q_relative::14,-0.003119,0.001167,-2.67,0.0075,no_sheriff,768322,0.2451
q_relative::15,-0.003843,0.001205,-3.19,0.0014,no_sheriff,768322,0.2451
