term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,4e-06,0.00064,0.01,0.9952,size_2-4 units,997664,0.0668
q_relative::-11,0.000259,0.000631,0.41,0.6817,size_2-4 units,997664,0.0668
q_relative::-10,-0.000801,0.00062,-1.29,0.1963,size_2-4 units,997664,0.0668
q_relative::-9,-0.001347,0.000606,-2.22,0.0263,size_2-4 units,997664,0.0668
q_relative::-8,-0.000655,0.000617,-1.06,0.2886,size_2-4 units,997664,0.0668
q_relative::-7,-0.000979,0.000624,-1.57,0.1164,size_2-4 units,997664,0.0668
q_relative::-6,-0.000864,0.000608,-1.42,0.1552,size_2-4 units,997664,0.0668
q_relative::-5,-0.000754,0.000604,-1.25,0.2116,size_2-4 units,997664,0.0668
q_relative::-3,9e-06,0.000616,0.02,0.9877,size_2-4 units,997664,0.0668
q_relative::-2,0.000767,0.00063,1.22,0.2233,size_2-4 units,997664,0.0668
q_relative::-1,-0.001137,0.000609,-1.87,0.0617,size_2-4 units,997664,0.0668
q_relative::0,-0.001733,0.000628,-2.76,0.0058,size_2-4 units,997664,0.0668
q_relative::1,-0.000197,0.000653,-0.3,0.7627,size_2-4 units,997664,0.0668
q_relative::2,-0.00026,0.000624,-0.42,0.6774,size_2-4 units,997664,0.0668
q_relative::3,0.000954,0.000633,1.51,0.1319,size_2-4 units,997664,0.0668
q_relative::4,0.001573,0.000648,2.43,0.0152,size_2-4 units,997664,0.0668
q_relative::5,0.001705,0.000653,2.61,0.009,size_2-4 units,997664,0.0668
q_relative::6,0.002077,0.000645,3.22,0.0013,size_2-4 units,997664,0.0668
q_relative::7,0.001774,0.000641,2.77,0.0057,size_2-4 units,997664,0.0668
q_relative::8,0.001167,0.000639,1.82,0.068,size_2-4 units,997664,0.0668
q_relative::9,0.001404,0.000658,2.13,0.0328,size_2-4 units,997664,0.0668
q_relative::10,0.002546,0.000652,3.91,1e-04,size_2-4 units,997664,0.0668
q_relative::11,0.001699,0.000651,2.61,0.009,size_2-4 units,997664,0.0668
q_relative::12,0.001295,0.000659,1.96,0.0495,size_2-4 units,997664,0.0668
q_relative::13,0.001502,0.000656,2.29,0.022,size_2-4 units,997664,0.0668
q_relative::14,0.001177,0.000652,1.81,0.0708,size_2-4 units,997664,0.0668
q_relative::15,0.00168,0.000658,2.55,0.0107,size_2-4 units,997664,0.0668
q_relative::16,0.001683,0.000661,2.55,0.0109,size_2-4 units,997664,0.0668
q_relative::17,0.002559,0.000683,3.75,2e-04,size_2-4 units,997664,0.0668
q_relative::18,0.001495,0.000654,2.29,0.0222,size_2-4 units,997664,0.0668
q_relative::19,0.001318,0.000656,2.01,0.0444,size_2-4 units,997664,0.0668
q_relative::20,0.001314,0.000654,2.01,0.0446,size_2-4 units,997664,0.0668
q_relative::-12,-0.000124,0.001635,-0.08,0.9396,size_5-19 units,65129,0.279
q_relative::-11,0.000988,0.001582,0.62,0.5325,size_5-19 units,65129,0.279
q_relative::-10,-0.000815,0.001447,-0.56,0.5735,size_5-19 units,65129,0.279
q_relative::-9,0.000655,0.001606,0.41,0.6833,size_5-19 units,65129,0.279
q_relative::-8,0.000822,0.001618,0.51,0.6116,size_5-19 units,65129,0.279
q_relative::-7,0.000656,0.001421,0.46,0.6447,size_5-19 units,65129,0.279
q_relative::-6,-0.001092,0.001652,-0.66,0.5088,size_5-19 units,65129,0.279
q_relative::-5,-0.001146,0.001562,-0.73,0.4632,size_5-19 units,65129,0.279
q_relative::-3,0.000309,0.001764,0.18,0.8608,size_5-19 units,65129,0.279
q_relative::-2,-0.000303,0.001752,-0.17,0.8628,size_5-19 units,65129,0.279
q_relative::-1,-0.000808,0.001759,-0.46,0.646,size_5-19 units,65129,0.279
q_relative::0,-0.001601,0.00167,-0.96,0.3378,size_5-19 units,65129,0.279
q_relative::1,0.002246,0.001965,1.14,0.2533,size_5-19 units,65129,0.279
q_relative::2,0.002898,0.001766,1.64,0.1009,size_5-19 units,65129,0.279
q_relative::3,0.001868,0.001766,1.06,0.2904,size_5-19 units,65129,0.279
q_relative::4,0.003544,0.001785,1.99,0.0472,size_5-19 units,65129,0.279
q_relative::5,0.002888,0.001762,1.64,0.1014,size_5-19 units,65129,0.279
q_relative::6,0.002105,0.00175,1.2,0.2291,size_5-19 units,65129,0.279
q_relative::7,0.003166,0.001841,1.72,0.0856,size_5-19 units,65129,0.279
q_relative::8,0.003027,0.001974,1.53,0.1252,size_5-19 units,65129,0.279
q_relative::9,0.003899,0.001974,1.98,0.0484,size_5-19 units,65129,0.279
q_relative::10,0.002754,0.001977,1.39,0.1639,size_5-19 units,65129,0.279
q_relative::11,0.004982,0.002401,2.08,0.0381,size_5-19 units,65129,0.279
q_relative::12,0.003718,0.002235,1.66,0.0963,size_5-19 units,65129,0.279
q_relative::13,0.001785,0.00201,0.89,0.3746,size_5-19 units,65129,0.279
q_relative::14,0.003743,0.002207,1.7,0.0899,size_5-19 units,65129,0.279
q_relative::15,0.003846,0.002048,1.88,0.0606,size_5-19 units,65129,0.279
q_relative::16,0.003069,0.001984,1.55,0.122,size_5-19 units,65129,0.279
q_relative::17,0.002929,0.002,1.46,0.1432,size_5-19 units,65129,0.279
q_relative::18,0.00408,0.002107,1.94,0.0529,size_5-19 units,65129,0.279
q_relative::19,0.00213,0.002111,1.01,0.3132,size_5-19 units,65129,0.279
q_relative::20,0.001986,0.002057,0.97,0.3344,size_5-19 units,65129,0.279
q_relative::-12,-0.002451,0.002218,-1.1,0.2696,size_20+ units,20942,0.4103
q_relative::-11,0.002613,0.002366,1.1,0.2698,size_20+ units,20942,0.4103
q_relative::-10,-0.003081,0.002144,-1.44,0.151,size_20+ units,20942,0.4103
q_relative::-9,-0.00089,0.002092,-0.43,0.6708,size_20+ units,20942,0.4103
q_relative::-8,-0.001964,0.002239,-0.88,0.3808,size_20+ units,20942,0.4103
q_relative::-7,0.002007,0.002204,0.91,0.3628,size_20+ units,20942,0.4103
q_relative::-6,-0.003711,0.001864,-1.99,0.0469,size_20+ units,20942,0.4103
q_relative::-5,0.000983,0.002018,0.49,0.6263,size_20+ units,20942,0.4103
q_relative::-3,-0.003226,0.001918,-1.68,0.093,size_20+ units,20942,0.4103
q_relative::-2,-0.002825,0.001969,-1.43,0.1519,size_20+ units,20942,0.4103
q_relative::-1,-0.002291,0.002266,-1.01,0.3123,size_20+ units,20942,0.4103
q_relative::0,-0.004129,0.002156,-1.91,0.0559,size_20+ units,20942,0.4103
q_relative::1,0.001133,0.002948,0.38,0.7008,size_20+ units,20942,0.4103
q_relative::2,-0.003271,0.002214,-1.48,0.14,size_20+ units,20942,0.4103
q_relative::3,-0.001849,0.002238,-0.83,0.4091,size_20+ units,20942,0.4103
q_relative::4,-0.000161,0.002093,-0.08,0.9388,size_20+ units,20942,0.4103
q_relative::5,-0.001065,0.002392,-0.45,0.6563,size_20+ units,20942,0.4103
q_relative::6,0.000612,0.002243,0.27,0.7852,size_20+ units,20942,0.4103
q_relative::7,0.00164,0.002624,0.63,0.5321,size_20+ units,20942,0.4103
q_relative::8,1.3e-05,0.002352,0.01,0.9956,size_20+ units,20942,0.4103
q_relative::9,-0.000476,0.002663,-0.18,0.8581,size_20+ units,20942,0.4103
q_relative::10,-0.000235,0.002677,-0.09,0.9301,size_20+ units,20942,0.4103
q_relative::11,0.000427,0.002302,0.19,0.8529,size_20+ units,20942,0.4103
q_relative::12,-0.003128,0.0025,-1.25,0.2112,size_20+ units,20942,0.4103
q_relative::13,0.002204,0.002441,0.9,0.3667,size_20+ units,20942,0.4103
q_relative::14,0.003271,0.002552,1.28,0.2004,size_20+ units,20942,0.4103
q_relative::15,0.000912,0.002484,0.37,0.7137,size_20+ units,20942,0.4103
q_relative::16,0.000397,0.002506,0.16,0.8742,size_20+ units,20942,0.4103
q_relative::17,0.003159,0.002661,1.19,0.2354,size_20+ units,20942,0.4103
q_relative::18,0.000469,0.002387,0.2,0.8444,size_20+ units,20942,0.4103
q_relative::19,0.000379,0.002578,0.15,0.883,size_20+ units,20942,0.4103
q_relative::20,0.000883,0.00243,0.36,0.7166,size_20+ units,20942,0.4103
