term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.122667,0.029231,-4.2,0,violations_corp,255924,0.174
q_relative::-11,-0.069278,0.028694,-2.41,0.0158,violations_corp,255924,0.174
q_relative::-10,-0.074731,0.027661,-2.7,0.0069,violations_corp,255924,0.174
q_relative::-9,-0.063493,0.025804,-2.46,0.0139,violations_corp,255924,0.174
q_relative::-8,-0.018844,0.025406,-0.74,0.4583,violations_corp,255924,0.174
q_relative::-7,-0.010412,0.023472,-0.44,0.6573,violations_corp,255924,0.174
q_relative::-6,0.013932,0.024668,0.56,0.5722,violations_corp,255924,0.174
q_relative::-5,0.007383,0.022374,0.33,0.7414,violations_corp,255924,0.174
q_relative::-3,0.109562,0.025644,4.27,0,violations_corp,255924,0.174
q_relative::-2,0.173577,0.028306,6.13,0,violations_corp,255924,0.174
q_relative::-1,0.214684,0.028129,7.63,0,violations_corp,255924,0.174
q_relative::0,0.412218,0.030287,13.61,0,violations_corp,255924,0.174
q_relative::1,0.312994,0.028469,10.99,0,violations_corp,255924,0.174
q_relative::2,0.120857,0.026899,4.49,0,violations_corp,255924,0.174
q_relative::3,0.029212,0.031604,0.92,0.3553,violations_corp,255924,0.174
q_relative::4,-0.03507,0.026997,-1.3,0.194,violations_corp,255924,0.174
q_relative::5,-0.03909,0.028516,-1.37,0.1705,violations_corp,255924,0.174
q_relative::6,-0.068746,0.026341,-2.61,0.0091,violations_corp,255924,0.174
q_relative::7,-0.037449,0.027899,-1.34,0.1795,violations_corp,255924,0.174
q_relative::8,-0.092138,0.027629,-3.33,9e-04,violations_corp,255924,0.174
q_relative::9,-0.059469,0.029573,-2.01,0.0444,violations_corp,255924,0.174
q_relative::10,-0.113882,0.028607,-3.98,1e-04,violations_corp,255924,0.174
q_relative::11,-0.053083,0.031037,-1.71,0.0872,violations_corp,255924,0.174
q_relative::12,-0.060209,0.034538,-1.74,0.0813,violations_corp,255924,0.174
q_relative::13,-0.033251,0.039763,-0.84,0.403,violations_corp,255924,0.174
q_relative::14,-0.062728,0.038533,-1.63,0.1036,violations_corp,255924,0.174
q_relative::15,-0.098425,0.046998,-2.09,0.0363,violations_corp,255924,0.174
q_relative::16,-0.092479,0.043634,-2.12,0.0341,violations_corp,255924,0.174
q_relative::17,-0.115332,0.055483,-2.08,0.0377,violations_corp,255924,0.174
q_relative::18,-0.01686,0.073909,-0.23,0.8196,violations_corp,255924,0.174
q_relative::19,0.056107,0.107343,0.52,0.6012,violations_corp,255924,0.174
q_relative::20,-0.06484,0.154515,-0.42,0.6748,violations_corp,255924,0.174
q_relative::-12,-0.000564,0.019882,-0.03,0.9774,violations_indiv,518286,0.1254
q_relative::-11,-0.030741,0.016446,-1.87,0.0616,violations_indiv,518286,0.1254
q_relative::-10,-0.028688,0.016781,-1.71,0.0874,violations_indiv,518286,0.1254
q_relative::-9,-0.034759,0.014562,-2.39,0.017,violations_indiv,518286,0.1254
q_relative::-8,-0.023878,0.014313,-1.67,0.0953,violations_indiv,518286,0.1254
q_relative::-7,-0.015535,0.013437,-1.16,0.2476,violations_indiv,518286,0.1254
q_relative::-6,-0.001521,0.014292,-0.11,0.9153,violations_indiv,518286,0.1254
q_relative::-5,0.033651,0.014059,2.39,0.0167,violations_indiv,518286,0.1254
q_relative::-3,0.024852,0.013164,1.89,0.0591,violations_indiv,518286,0.1254
q_relative::-2,0.117716,0.015768,7.47,0,violations_indiv,518286,0.1254
q_relative::-1,0.175119,0.016237,10.79,0,violations_indiv,518286,0.1254
q_relative::0,0.217976,0.016614,13.12,0,violations_indiv,518286,0.1254
q_relative::1,0.097384,0.014673,6.64,0,violations_indiv,518286,0.1254
q_relative::2,0.042062,0.014687,2.86,0.0042,violations_indiv,518286,0.1254
q_relative::3,-0.003009,0.01347,-0.22,0.8232,violations_indiv,518286,0.1254
q_relative::4,-0.000157,0.013244,-0.01,0.9906,violations_indiv,518286,0.1254
q_relative::5,0.011774,0.013247,0.89,0.3741,violations_indiv,518286,0.1254
q_relative::6,0.007409,0.013293,0.56,0.5773,violations_indiv,518286,0.1254
q_relative::7,0.008016,0.01275,0.63,0.5296,violations_indiv,518286,0.1254
q_relative::8,0.002584,0.012576,0.21,0.8372,violations_indiv,518286,0.1254
q_relative::9,9.4e-05,0.012076,0.01,0.9938,violations_indiv,518286,0.1254
q_relative::10,-0.001141,0.012294,-0.09,0.9261,violations_indiv,518286,0.1254
q_relative::11,-0.007809,0.012168,-0.64,0.521,violations_indiv,518286,0.1254
q_relative::12,-0.007416,0.012042,-0.62,0.538,violations_indiv,518286,0.1254
q_relative::13,0.016043,0.013202,1.22,0.2243,violations_indiv,518286,0.1254
q_relative::14,0.015163,0.013524,1.12,0.2622,violations_indiv,518286,0.1254
q_relative::15,0.00375,0.014355,0.26,0.7939,violations_indiv,518286,0.1254
q_relative::16,0.003612,0.015912,0.23,0.8204,violations_indiv,518286,0.1254
q_relative::17,-0.014806,0.017185,-0.86,0.3889,violations_indiv,518286,0.1254
q_relative::18,0.005635,0.022623,0.25,0.8033,violations_indiv,518286,0.1254
q_relative::19,0.026703,0.029964,0.89,0.3728,violations_indiv,518286,0.1254
q_relative::20,0.042806,0.079994,0.54,0.5926,violations_indiv,518286,0.1254
q_relative::-12,-0.020434,0.006687,-3.06,0.0022,violations_rate,761813,0.1229
q_relative::-11,-0.018669,0.006065,-3.08,0.0021,violations_rate,761813,0.1229
q_relative::-10,-0.022219,0.005927,-3.75,2e-04,violations_rate,761813,0.1229
q_relative::-9,-0.024804,0.005419,-4.58,0,violations_rate,761813,0.1229
q_relative::-8,-0.009087,0.005514,-1.65,0.0994,violations_rate,761813,0.1229
q_relative::-7,-0.010122,0.005088,-1.99,0.0467,violations_rate,761813,0.1229
q_relative::-6,-0.00423,0.005172,-0.82,0.4135,violations_rate,761813,0.1229
q_relative::-5,0.006334,0.004916,1.29,0.1975,violations_rate,761813,0.1229
q_relative::-3,0.014992,0.004884,3.07,0.0021,violations_rate,761813,0.1229
q_relative::-2,0.05095,0.005478,9.3,0,violations_rate,761813,0.1229
q_relative::-1,0.074811,0.005852,12.78,0,violations_rate,761813,0.1229
q_relative::0,0.113905,0.005997,18.99,0,violations_rate,761813,0.1229
q_relative::1,0.066932,0.005455,12.27,0,violations_rate,761813,0.1229
q_relative::2,0.023156,0.005279,4.39,0,violations_rate,761813,0.1229
q_relative::3,-0.002614,0.004884,-0.54,0.5925,violations_rate,761813,0.1229
q_relative::4,-0.005446,0.004748,-1.15,0.2514,violations_rate,761813,0.1229
q_relative::5,-0.004538,0.004671,-0.97,0.3312,violations_rate,761813,0.1229
q_relative::6,-0.002612,0.00474,-0.55,0.5816,violations_rate,761813,0.1229
q_relative::7,-0.001244,0.004711,-0.26,0.7917,violations_rate,761813,0.1229
q_relative::8,-0.005061,0.004678,-1.08,0.2793,violations_rate,761813,0.1229
q_relative::9,-0.004932,0.004536,-1.09,0.2769,violations_rate,761813,0.1229
q_relative::10,-0.003679,0.004573,-0.8,0.4211,violations_rate,761813,0.1229
q_relative::11,-0.003471,0.004581,-0.76,0.4486,violations_rate,761813,0.1229
q_relative::12,-0.004946,0.004595,-1.08,0.2818,violations_rate,761813,0.1229
q_relative::13,0.007139,0.005083,1.4,0.1602,violations_rate,761813,0.1229
q_relative::14,0.005575,0.005198,1.07,0.2835,violations_rate,761813,0.1229
q_relative::15,-0.001711,0.005473,-0.31,0.7545,violations_rate,761813,0.1229
q_relative::16,0.007224,0.006124,1.18,0.2381,violations_rate,761813,0.1229
q_relative::17,-0.002824,0.006837,-0.41,0.6796,violations_rate,761813,0.1229
q_relative::18,0.003727,0.008728,0.43,0.6694,violations_rate,761813,0.1229
q_relative::19,0.023695,0.011981,1.98,0.048,violations_rate,761813,0.1229
q_relative::20,0.020029,0.028132,0.71,0.4765,violations_rate,761813,0.1229
