term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,0.001201,0.002959,0.41,0.6848,full_highfiler_portfolio,139352,0.1299
event_time::-2,-0.00133,0.002528,-0.53,0.5987,full_highfiler_portfolio,139352,0.1299
event_time::0,-0.005888,0.002617,-2.25,0.0244,full_highfiler_portfolio,139352,0.1299
event_time::1,0.024928,0.003381,7.37,0,full_highfiler_portfolio,139352,0.1299
event_time::2,0.037774,0.004028,9.38,0,full_highfiler_portfolio,139352,0.1299
event_time::3,0.036243,0.004649,7.8,0,full_highfiler_portfolio,139352,0.1299
event_time::4,0.024811,0.005262,4.72,0,full_highfiler_portfolio,139352,0.1299
event_time::5,0.017905,0.005991,2.99,0.0028,full_highfiler_portfolio,139352,0.1299
event_time::-3,0.010195,0.00247,4.13,0,full_lowfiler_portfolio,120641,0.0895
event_time::-2,0.00252,0.001859,1.36,0.1751,full_lowfiler_portfolio,120641,0.0895
event_time::0,0.00454,0.002254,2.01,0.044,full_lowfiler_portfolio,120641,0.0895
event_time::1,0.028398,0.003072,9.24,0,full_lowfiler_portfolio,120641,0.0895
event_time::2,0.038365,0.003894,9.85,0,full_lowfiler_portfolio,120641,0.0895
event_time::3,0.040845,0.004758,8.58,0,full_lowfiler_portfolio,120641,0.0895
event_time::4,0.032138,0.005421,5.93,0,full_lowfiler_portfolio,120641,0.0895
event_time::5,0.0228,0.006096,3.74,2e-04,full_lowfiler_portfolio,120641,0.0895
event_time::-3,-6.1e-05,0.001438,-0.04,0.9663,full_nonfiler_has_portfolio,254645,0.0986
event_time::-2,-0.001265,0.001295,-0.98,0.3287,full_nonfiler_has_portfolio,254645,0.0986
event_time::0,-0.000172,0.001422,-0.12,0.9039,full_nonfiler_has_portfolio,254645,0.0986
event_time::1,0.019549,0.001847,10.58,0,full_nonfiler_has_portfolio,254645,0.0986
event_time::2,0.023249,0.002067,11.25,0,full_nonfiler_has_portfolio,254645,0.0986
event_time::3,0.018656,0.002289,8.15,0,full_nonfiler_has_portfolio,254645,0.0986
event_time::4,0.015743,0.002547,6.18,0,full_nonfiler_has_portfolio,254645,0.0986
event_time::5,0.006168,0.002742,2.25,0.0245,full_nonfiler_has_portfolio,254645,0.0986
event_time::-3,-0.013704,0.001065,-12.87,0,full_singlepurchase,947233,0.2736
event_time::-2,-0.01101,0.001026,-10.73,0,full_singlepurchase,947233,0.2736
event_time::0,-0.017167,0.000866,-19.82,0,full_singlepurchase,947233,0.2736
event_time::1,-0.011993,0.000954,-12.57,0,full_singlepurchase,947233,0.2736
event_time::2,-0.006236,0.001047,-5.96,0,full_singlepurchase,947233,0.2736
event_time::3,-0.007918,0.000961,-8.24,0,full_singlepurchase,947233,0.2736
event_time::4,-0.008008,0.001086,-7.37,0,full_singlepurchase,947233,0.2736
event_time::5,-0.007208,0.001062,-6.79,0,full_singlepurchase,947233,0.2736
