term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.008579,0.000599,-14.33,0,full_pid_year,1948502,0.16
event_time::-2,-0.007137,0.000562,-12.71,0,full_pid_year,1948502,0.16
event_time::0,-0.008929,0.000542,-16.47,0,full_pid_year,1948502,0.16
event_time::1,0.002232,0.000601,3.71,2e-04,full_pid_year,1948502,0.16
event_time::2,0.008406,0.000723,11.63,0,full_pid_year,1948502,0.16
event_time::3,0.007324,0.000694,10.56,0,full_pid_year,1948502,0.16
event_time::4,0.006113,0.000867,7.05,0,full_pid_year,1948502,0.16
event_time::5,0.005163,0.00087,5.93,0,full_pid_year,1948502,0.16
event_time::-3,-0.00824,0.000602,-13.68,0,full_pid_bgxyear,1948272,0.1652
event_time::-2,-0.00686,0.000563,-12.19,0,full_pid_bgxyear,1948272,0.1652
event_time::0,-0.008946,0.000542,-16.52,0,full_pid_bgxyear,1948272,0.1652
event_time::1,0.002104,0.00061,3.45,6e-04,full_pid_bgxyear,1948272,0.1652
event_time::2,0.008273,0.000694,11.92,0,full_pid_bgxyear,1948272,0.1652
event_time::3,0.007076,0.000673,10.51,0,full_pid_bgxyear,1948272,0.1652
event_time::4,0.005885,0.000819,7.18,0,full_pid_bgxyear,1948272,0.1652
event_time::5,0.004883,0.000839,5.82,0,full_pid_bgxyear,1948272,0.1652
event_time::-3,0.00176,0.001981,0.89,0.3742,large_pid_year,32519,0.4741
event_time::-2,0.001016,0.001478,0.69,0.4919,large_pid_year,32519,0.4741
event_time::0,0.000489,0.002027,0.24,0.8094,large_pid_year,32519,0.4741
event_time::1,0.005552,0.002612,2.13,0.0336,large_pid_year,32519,0.4741
event_time::2,0.009596,0.003086,3.11,0.0019,large_pid_year,32519,0.4741
event_time::3,0.010399,0.00358,2.91,0.0037,large_pid_year,32519,0.4741
event_time::4,0.01212,0.003579,3.39,7e-04,large_pid_year,32519,0.4741
event_time::5,0.009882,0.003705,2.67,0.0077,large_pid_year,32519,0.4741
event_time::-3,0.002283,0.001808,1.26,0.2068,large_pid_bgxyear,28451,0.6249
event_time::-2,-0.00086,0.001572,-0.55,0.5843,large_pid_bgxyear,28451,0.6249
event_time::0,-0.001995,0.001825,-1.09,0.2743,large_pid_bgxyear,28451,0.6249
event_time::1,0.002077,0.002329,0.89,0.3726,large_pid_bgxyear,28451,0.6249
event_time::2,0.003547,0.002062,1.72,0.0856,large_pid_bgxyear,28451,0.6249
event_time::3,0.002758,0.002285,1.21,0.2277,large_pid_bgxyear,28451,0.6249
event_time::4,0.004748,0.002602,1.82,0.0681,large_pid_bgxyear,28451,0.6249
event_time::5,0.00436,0.002692,1.62,0.1053,large_pid_bgxyear,28451,0.6249
event_time::-3,-0.04357,0.001846,-23.6,0,known_rental_pid_year,743788,0.3576
event_time::-2,-0.033515,0.001817,-18.45,0,known_rental_pid_year,743788,0.3576
event_time::0,-0.049687,0.00175,-28.39,0,known_rental_pid_year,743788,0.3576
event_time::1,-0.033774,0.001791,-18.86,0,known_rental_pid_year,743788,0.3576
event_time::2,-0.028894,0.001758,-16.43,0,known_rental_pid_year,743788,0.3576
event_time::3,-0.034685,0.001751,-19.8,0,known_rental_pid_year,743788,0.3576
event_time::4,-0.039323,0.001754,-22.42,0,known_rental_pid_year,743788,0.3576
event_time::5,-0.042383,0.00177,-23.95,0,known_rental_pid_year,743788,0.3576
event_time::-3,-0.00119,0.004399,-0.27,0.7867,known_rental_large_pid_year,17464,0.5024
event_time::-2,-0.003282,0.003783,-0.87,0.3857,known_rental_large_pid_year,17464,0.5024
event_time::0,-0.001513,0.003655,-0.41,0.6788,known_rental_large_pid_year,17464,0.5024
event_time::1,0.006159,0.005094,1.21,0.2267,known_rental_large_pid_year,17464,0.5024
event_time::2,0.012546,0.004989,2.51,0.012,known_rental_large_pid_year,17464,0.5024
event_time::3,0.010714,0.005589,1.92,0.0554,known_rental_large_pid_year,17464,0.5024
event_time::4,0.013407,0.005692,2.36,0.0186,known_rental_large_pid_year,17464,0.5024
event_time::5,0.010043,0.005715,1.76,0.079,known_rental_large_pid_year,17464,0.5024
