term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3:is_corp::FALSE,-0.006816,0.000666,-10.24,0,interaction_full,1948484,0.1605
event_time::-3:is_corp::TRUE,-0.012373,0.001199,-10.32,0,interaction_full,1948484,0.1605
event_time::-2:is_corp::FALSE,-0.004197,0.000667,-6.29,0,interaction_full,1948484,0.1605
event_time::-2:is_corp::TRUE,-0.013074,0.00112,-11.68,0,interaction_full,1948484,0.1605
event_time::0:is_corp::FALSE,-0.008223,0.000672,-12.23,0,interaction_full,1948484,0.1605
event_time::0:is_corp::TRUE,-0.010373,0.00099,-10.48,0,interaction_full,1948484,0.1605
event_time::1:is_corp::FALSE,-0.002317,0.000664,-3.49,5e-04,interaction_full,1948484,0.1605
event_time::1:is_corp::TRUE,0.0126,0.001122,11.23,0,interaction_full,1948484,0.1605
event_time::2:is_corp::FALSE,0.003118,0.000947,3.29,0.001,interaction_full,1948484,0.1605
event_time::2:is_corp::TRUE,0.020954,0.001145,18.29,0,interaction_full,1948484,0.1605
event_time::3:is_corp::FALSE,0.001377,0.000846,1.63,0.1037,interaction_full,1948484,0.1605
event_time::3:is_corp::TRUE,0.021949,0.001152,19.05,0,interaction_full,1948484,0.1605
event_time::4:is_corp::FALSE,0.00173,0.001045,1.65,0.0979,interaction_full,1948484,0.1605
event_time::4:is_corp::TRUE,0.017173,0.001098,15.65,0,interaction_full,1948484,0.1605
event_time::5:is_corp::FALSE,0.000361,0.001025,0.35,0.7245,interaction_full,1948484,0.1605
event_time::5:is_corp::TRUE,0.017689,0.001157,15.29,0,interaction_full,1948484,0.1605
event_time::-3,-0.001565,0.00112,-1.4,0.1622,corporate,591037,0.1209
event_time::-2,-0.002756,0.001042,-2.64,0.0082,corporate,591037,0.1209
event_time::0,-0.001116,0.001048,-1.06,0.2873,corporate,591037,0.1209
event_time::1,0.021915,0.00127,17.25,0,corporate,591037,0.1209
event_time::2,0.030676,0.001398,21.95,0,corporate,591037,0.1209
event_time::3,0.031664,0.001498,21.13,0,corporate,591037,0.1209
event_time::4,0.02647,0.001522,17.39,0,corporate,591037,0.1209
event_time::5,0.026605,0.001613,16.5,0,corporate,591037,0.1209
event_time::-3,-0.011704,0.000697,-16.78,0,individual,1355650,0.2905
event_time::-2,-0.009003,0.000685,-13.15,0,individual,1355650,0.2905
event_time::0,-0.013062,0.000649,-20.13,0,individual,1355650,0.2905
event_time::1,-0.007377,0.000754,-9.79,0,individual,1355650,0.2905
event_time::2,-0.002041,0.000731,-2.79,0.0053,individual,1355650,0.2905
event_time::3,-0.003949,0.000733,-5.39,0,individual,1355650,0.2905
event_time::4,-0.003628,0.000734,-4.94,0,individual,1355650,0.2905
event_time::5,-0.004922,0.000726,-6.78,0,individual,1355650,0.2905
event_time::-3,0.00064,0.002806,0.23,0.8196,corporate_large,21811,0.4846
event_time::-2,0.001556,0.002095,0.74,0.4579,corporate_large,21811,0.4846
event_time::0,0.001581,0.002872,0.55,0.582,corporate_large,21811,0.4846
event_time::1,0.008409,0.003741,2.25,0.0247,corporate_large,21811,0.4846
event_time::2,0.013227,0.004433,2.98,0.0029,corporate_large,21811,0.4846
event_time::3,0.015175,0.004953,3.06,0.0022,corporate_large,21811,0.4846
event_time::4,0.016939,0.005204,3.26,0.0012,corporate_large,21811,0.4846
event_time::5,0.014724,0.005317,2.77,0.0057,corporate_large,21811,0.4846
event_time::-3,0.000646,0.00181,0.36,0.7213,individual_large,10666,0.296
event_time::-2,-0.001453,0.00146,-1,0.3196,individual_large,10666,0.296
event_time::0,-0.000801,0.002029,-0.39,0.6931,individual_large,10666,0.296
event_time::1,0.000929,0.002212,0.42,0.6745,individual_large,10666,0.296
event_time::2,0.003234,0.002588,1.25,0.2116,individual_large,10666,0.296
event_time::3,0.002785,0.004037,0.69,0.4903,individual_large,10666,0.296
event_time::4,0.005732,0.003318,1.73,0.0843,individual_large,10666,0.296
event_time::5,0.004127,0.003547,1.16,0.2448,individual_large,10666,0.296
