term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,0.004275,0.001575,2.71,0.0066,corp_1 unit,320567,0.1243
event_time::-2,-0.00052,0.001445,-0.36,0.7188,corp_1 unit,320567,0.1243
event_time::0,0.000991,0.001568,0.63,0.5275,corp_1 unit,320567,0.1243
event_time::1,0.031113,0.001966,15.83,0,corp_1 unit,320567,0.1243
event_time::2,0.039987,0.002171,18.42,0,corp_1 unit,320567,0.1243
event_time::3,0.039507,0.002308,17.12,0,corp_1 unit,320567,0.1243
event_time::4,0.028143,0.002378,11.84,0,corp_1 unit,320567,0.1243
event_time::5,0.026274,0.002518,10.43,0,corp_1 unit,320567,0.1243
event_time::-3,-0.012125,0.000919,-13.19,0,indiv_1 unit,864117,0.3172
event_time::-2,-0.009799,0.000912,-10.74,0,indiv_1 unit,864117,0.3172
event_time::0,-0.014954,0.000896,-16.69,0,indiv_1 unit,864117,0.3172
event_time::1,-0.007418,0.001089,-6.81,0,indiv_1 unit,864117,0.3172
event_time::2,-0.000253,0.001041,-0.24,0.8081,indiv_1 unit,864117,0.3172
event_time::3,-0.003738,0.001035,-3.61,3e-04,indiv_1 unit,864117,0.3172
event_time::4,-0.003736,0.001029,-3.63,3e-04,indiv_1 unit,864117,0.3172
event_time::5,-0.006143,0.001005,-6.11,0,indiv_1 unit,864117,0.3172
event_time::-3,0.004977,0.002171,2.29,0.0219,corp_2-4 units,79056,0.2042
event_time::-2,0.002855,0.002233,1.28,0.201,corp_2-4 units,79056,0.2042
event_time::0,-0.001057,0.001944,-0.54,0.5868,corp_2-4 units,79056,0.2042
event_time::1,0.013916,0.002442,5.7,0,corp_2-4 units,79056,0.2042
event_time::2,0.016869,0.00273,6.18,0,corp_2-4 units,79056,0.2042
event_time::3,0.01568,0.002936,5.34,0,corp_2-4 units,79056,0.2042
event_time::4,0.010259,0.003129,3.28,0.001,corp_2-4 units,79056,0.2042
event_time::5,0.012175,0.003474,3.5,5e-04,corp_2-4 units,79056,0.2042
event_time::-3,-0.004517,0.001342,-3.37,8e-04,indiv_2-4 units,177698,0.147
event_time::-2,-0.004198,0.00131,-3.2,0.0014,indiv_2-4 units,177698,0.147
event_time::0,-0.004088,0.001312,-3.12,0.0018,indiv_2-4 units,177698,0.147
event_time::1,0.001951,0.001403,1.39,0.1643,indiv_2-4 units,177698,0.147
event_time::2,0.001903,0.001426,1.33,0.182,indiv_2-4 units,177698,0.147
event_time::3,0.001581,0.001417,1.12,0.2645,indiv_2-4 units,177698,0.147
event_time::4,0.001246,0.001445,0.86,0.3885,indiv_2-4 units,177698,0.147
event_time::5,0.000114,0.001446,0.08,0.937,indiv_2-4 units,177698,0.147
event_time::-3,0.002081,0.004498,0.46,0.6437,corp_5-9 units,7677,0.5318
event_time::-2,-0.001257,0.003044,-0.41,0.6796,corp_5-9 units,7677,0.5318
event_time::0,0.004928,0.005697,0.86,0.3873,corp_5-9 units,7677,0.5318
event_time::1,0.009918,0.007556,1.31,0.1896,corp_5-9 units,7677,0.5318
event_time::2,0.01727,0.008911,1.94,0.0529,corp_5-9 units,7677,0.5318
event_time::3,0.01567,0.01057,1.48,0.1385,corp_5-9 units,7677,0.5318
event_time::4,0.012116,0.009215,1.31,0.1889,corp_5-9 units,7677,0.5318
event_time::5,0.011137,0.008805,1.26,0.2062,corp_5-9 units,7677,0.5318
event_time::-3,0.004255,0.004527,0.94,0.3476,indiv_5-9 units,4502,0.1889
event_time::-2,3.7e-05,0.003304,0.01,0.9911,indiv_5-9 units,4502,0.1889
event_time::0,-0.002337,0.004742,-0.49,0.6223,indiv_5-9 units,4502,0.1889
event_time::1,0.002304,0.00473,0.49,0.6262,indiv_5-9 units,4502,0.1889
event_time::2,0.004849,0.005323,0.91,0.3626,indiv_5-9 units,4502,0.1889
event_time::3,0.006079,0.008448,0.72,0.472,indiv_5-9 units,4502,0.1889
event_time::4,0.011222,0.006134,1.83,0.0677,indiv_5-9 units,4502,0.1889
event_time::5,0.003246,0.006844,0.47,0.6355,indiv_5-9 units,4502,0.1889
event_time::-3,-0.000525,0.008056,-0.07,0.9481,corp_10-19 units,2908,0.5846
event_time::-2,0.004219,0.006076,0.69,0.4879,corp_10-19 units,2908,0.5846
event_time::0,-0.006639,0.006091,-1.09,0.2765,corp_10-19 units,2908,0.5846
event_time::1,-0.003457,0.007712,-0.45,0.6543,corp_10-19 units,2908,0.5846
event_time::2,0.009428,0.008299,1.14,0.2567,corp_10-19 units,2908,0.5846
event_time::3,-0.002955,0.008252,-0.36,0.7204,corp_10-19 units,2908,0.5846
event_time::4,0.009934,0.009082,1.09,0.2748,corp_10-19 units,2908,0.5846
event_time::5,0.005158,0.011328,0.46,0.6491,corp_10-19 units,2908,0.5846
event_time::-3,0.002441,0.003927,0.62,0.5349,indiv_10-19 units,1000,0.43
event_time::-2,0.00296,0.004085,0.72,0.4697,indiv_10-19 units,1000,0.43
event_time::0,-0.003938,0.005835,-0.67,0.5005,indiv_10-19 units,1000,0.43
event_time::1,-0.005911,0.007157,-0.83,0.4098,indiv_10-19 units,1000,0.43
event_time::2,0.017742,0.009872,1.8,0.0738,indiv_10-19 units,1000,0.43
event_time::3,-0.00081,0.008801,-0.09,0.9268,indiv_10-19 units,1000,0.43
event_time::4,-0.003209,0.007224,-0.44,0.6574,indiv_10-19 units,1000,0.43
event_time::5,0.002617,0.006476,0.4,0.6866,indiv_10-19 units,1000,0.43
event_time::-3,0.001514,0.006752,0.22,0.8227,corp_20+ units,4240,0.609
event_time::-2,0.003686,0.005623,0.66,0.5124,corp_20+ units,4240,0.609
event_time::0,0.006987,0.007047,0.99,0.3219,corp_20+ units,4240,0.609
event_time::1,0.01426,0.007903,1.8,0.0718,corp_20+ units,4240,0.609
event_time::2,0.010757,0.007919,1.36,0.1749,corp_20+ units,4240,0.609
event_time::3,0.018533,0.008676,2.14,0.0331,corp_20+ units,4240,0.609
event_time::4,0.01963,0.009444,2.08,0.0382,corp_20+ units,4240,0.609
event_time::5,0.01516,0.009272,1.64,0.1026,corp_20+ units,4240,0.609
event_time::-3,0.003815,0.007098,0.54,0.5917,indiv_20+ units,732,0.7749
event_time::-2,0.002827,0.004174,0.68,0.4993,indiv_20+ units,732,0.7749
event_time::0,0.005055,0.00526,0.96,0.338,indiv_20+ units,732,0.7749
event_time::1,-0.006121,0.005813,-1.05,0.294,indiv_20+ units,732,0.7749
event_time::2,-0.004735,0.009767,-0.48,0.6285,indiv_20+ units,732,0.7749
event_time::3,-0.006695,0.008951,-0.75,0.4556,indiv_20+ units,732,0.7749
event_time::4,-0.002645,0.005995,-0.44,0.6596,indiv_20+ units,732,0.7749
event_time::5,-0.004818,0.006846,-0.7,0.4826,indiv_20+ units,732,0.7749
