term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.013638,0.001153,-11.82,0,portfolio_Single-purchase,697541,0.2297
event_time::-2,-0.010725,0.001098,-9.77,0,portfolio_Single-purchase,697541,0.2297
event_time::0,-0.01732,0.000935,-18.53,0,portfolio_Single-purchase,697541,0.2297
event_time::1,-0.015333,0.001027,-14.93,0,portfolio_Single-purchase,697541,0.2297
event_time::2,-0.01077,0.001322,-8.15,0,portfolio_Single-purchase,697541,0.2297
event_time::3,-0.011983,0.001325,-9.04,0,portfolio_Single-purchase,697541,0.2297
event_time::4,-0.011533,0.001143,-10.09,0,portfolio_Single-purchase,697541,0.2297
event_time::5,-0.013206,0.001131,-11.68,0,portfolio_Single-purchase,697541,0.2297
event_time::-3,-0.005039,0.001445,-3.49,5e-04,portfolio_2-4,350771,0.1194
event_time::-2,-0.004855,0.00138,-3.52,4e-04,portfolio_2-4,350771,0.1194
event_time::0,-0.003002,0.001409,-2.13,0.0331,portfolio_2-4,350771,0.1194
event_time::1,0.015582,0.001654,9.42,0,portfolio_2-4,350771,0.1194
event_time::2,0.02039,0.001742,11.71,0,portfolio_2-4,350771,0.1194
event_time::3,0.01541,0.0018,8.56,0,portfolio_2-4,350771,0.1194
event_time::4,0.010379,0.001866,5.56,0,portfolio_2-4,350771,0.1194
event_time::5,0.00809,0.001935,4.18,0,portfolio_2-4,350771,0.1194
event_time::-3,0.000705,0.002319,0.3,0.7612,portfolio_5-9,161765,0.377
event_time::-2,-0.002054,0.00211,-0.97,0.3304,portfolio_5-9,161765,0.377
event_time::0,-0.001426,0.002232,-0.64,0.5229,portfolio_5-9,161765,0.377
event_time::1,0.020899,0.002704,7.73,0,portfolio_5-9,161765,0.377
event_time::2,0.026067,0.00297,8.78,0,portfolio_5-9,161765,0.377
event_time::3,0.019436,0.004232,4.59,0,portfolio_5-9,161765,0.377
event_time::4,0.018524,0.003687,5.02,0,portfolio_5-9,161765,0.377
event_time::5,0.013564,0.003916,3.46,5e-04,portfolio_5-9,161765,0.377
event_time::-3,0.00482,0.002208,2.18,0.0291,portfolio_10+,193939,0.1313
event_time::-2,6e-05,0.001928,0.03,0.9754,portfolio_10+,193939,0.1313
event_time::0,0.004456,0.002051,2.17,0.0298,portfolio_10+,193939,0.1313
event_time::1,0.038777,0.002593,14.95,0,portfolio_10+,193939,0.1313
event_time::2,0.050664,0.002951,17.17,0,portfolio_10+,193939,0.1313
event_time::3,0.047646,0.003181,14.98,0,portfolio_10+,193939,0.1313
event_time::4,0.036834,0.003386,10.88,0,portfolio_10+,193939,0.1313
event_time::5,0.03648,0.00366,9.97,0,portfolio_10+,193939,0.1313
