term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.008768,0.00509,-1.72,0.086,5plus_highfiler_portfolio,7536,0.1741
q_relative::-11,-0.000721,0.004945,-0.15,0.8842,5plus_highfiler_portfolio,7536,0.1741
q_relative::-10,-0.002016,0.005605,-0.36,0.7193,5plus_highfiler_portfolio,7536,0.1741
q_relative::-9,-0.002778,0.005281,-0.53,0.5992,5plus_highfiler_portfolio,7536,0.1741
q_relative::-8,-0.003731,0.00534,-0.7,0.4854,5plus_highfiler_portfolio,7536,0.1741
q_relative::-7,0.009332,0.006128,1.52,0.1288,5plus_highfiler_portfolio,7536,0.1741
q_relative::-6,-0.003603,0.00547,-0.66,0.5106,5plus_highfiler_portfolio,7536,0.1741
q_relative::-5,0.000111,0.004625,0.02,0.9808,5plus_highfiler_portfolio,7536,0.1741
q_relative::-3,-0.007592,0.004977,-1.53,0.1282,5plus_highfiler_portfolio,7536,0.1741
q_relative::-2,-0.003752,0.006909,-0.54,0.5875,5plus_highfiler_portfolio,7536,0.1741
q_relative::-1,0.006628,0.009398,0.71,0.4813,5plus_highfiler_portfolio,7536,0.1741
q_relative::0,0.001752,0.005583,0.31,0.7539,5plus_highfiler_portfolio,7536,0.1741
q_relative::1,0.002552,0.00682,0.37,0.7085,5plus_highfiler_portfolio,7536,0.1741
q_relative::2,-0.004663,0.006223,-0.75,0.4543,5plus_highfiler_portfolio,7536,0.1741
q_relative::3,-0.008101,0.005581,-1.45,0.1477,5plus_highfiler_portfolio,7536,0.1741
q_relative::4,0.004388,0.006573,0.67,0.505,5plus_highfiler_portfolio,7536,0.1741
q_relative::5,0.002575,0.006042,0.43,0.6702,5plus_highfiler_portfolio,7536,0.1741
q_relative::6,-0.003397,0.00674,-0.5,0.6146,5plus_highfiler_portfolio,7536,0.1741
q_relative::7,9.3e-05,0.007031,0.01,0.9894,5plus_highfiler_portfolio,7536,0.1741
q_relative::8,-0.009667,0.005634,-1.72,0.0873,5plus_highfiler_portfolio,7536,0.1741
q_relative::9,-0.004423,0.00639,-0.69,0.4894,5plus_highfiler_portfolio,7536,0.1741
q_relative::10,0.001483,0.007471,0.2,0.8428,5plus_highfiler_portfolio,7536,0.1741
q_relative::11,0.006896,0.011242,0.61,0.5401,5plus_highfiler_portfolio,7536,0.1741
q_relative::12,-7.6e-05,0.007788,-0.01,0.9923,5plus_highfiler_portfolio,7536,0.1741
q_relative::13,-0.008437,0.006112,-1.38,0.1686,5plus_highfiler_portfolio,7536,0.1741
q_relative::14,-0.003096,0.006611,-0.47,0.6399,5plus_highfiler_portfolio,7536,0.1741
q_relative::15,-0.006806,0.006808,-1,0.3183,5plus_highfiler_portfolio,7536,0.1741
q_relative::16,-0.0074,0.006904,-1.07,0.2847,5plus_highfiler_portfolio,7536,0.1741
q_relative::17,-0.000997,0.007213,-0.14,0.8902,5plus_highfiler_portfolio,7536,0.1741
q_relative::18,-0.007264,0.00654,-1.11,0.2676,5plus_highfiler_portfolio,7536,0.1741
q_relative::19,-0.012152,0.006848,-1.77,0.077,5plus_highfiler_portfolio,7536,0.1741
q_relative::20,-0.010528,0.007117,-1.48,0.1402,5plus_highfiler_portfolio,7536,0.1741
q_relative::-12,-0.004933,0.003701,-1.33,0.1837,5plus_lowfiler_portfolio,6042,0.1267
q_relative::-11,-0.001072,0.0043,-0.25,0.8032,5plus_lowfiler_portfolio,6042,0.1267
q_relative::-10,-0.005026,0.00428,-1.17,0.2414,5plus_lowfiler_portfolio,6042,0.1267
