term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.000875,0.002573,-0.34,0.7338,2plus_highfiler_portfolio,96096,0.1167
q_relative::-11,0.000643,0.002517,0.26,0.7983,2plus_highfiler_portfolio,96096,0.1167
q_relative::-10,-0.004403,0.002509,-1.76,0.0793,2plus_highfiler_portfolio,96096,0.1167
q_relative::-9,-0.003312,0.002423,-1.37,0.1719,2plus_highfiler_portfolio,96096,0.1167
q_relative::-8,-0.001512,0.002503,-0.6,0.5457,2plus_highfiler_portfolio,96096,0.1167
q_relative::-7,-1.7e-05,0.002454,-0.01,0.9945,2plus_highfiler_portfolio,96096,0.1167
q_relative::-6,-0.004485,0.002148,-2.09,0.0369,2plus_highfiler_portfolio,96096,0.1167
q_relative::-5,-0.000485,0.002215,-0.22,0.8265,2plus_highfiler_portfolio,96096,0.1167
q_relative::-3,-0.003579,0.002278,-1.57,0.1163,2plus_highfiler_portfolio,96096,0.1167
q_relative::-2,-0.002692,0.002229,-1.21,0.2273,2plus_highfiler_portfolio,96096,0.1167
q_relative::-1,-0.003879,0.002402,-1.62,0.1064,2plus_highfiler_portfolio,96096,0.1167
q_relative::0,-0.002778,0.002776,-1,0.317,2plus_highfiler_portfolio,96096,0.1167
q_relative::1,-0.000544,0.002855,-0.19,0.8489,2plus_highfiler_portfolio,96096,0.1167
q_relative::2,0.000702,0.002552,0.28,0.7832,2plus_highfiler_portfolio,96096,0.1167
q_relative::3,-0.002562,0.002503,-1.02,0.3061,2plus_highfiler_portfolio,96096,0.1167
q_relative::4,0.001682,0.002824,0.6,0.5515,2plus_highfiler_portfolio,96096,0.1167
q_relative::5,0.005834,0.002924,2,0.046,2plus_highfiler_portfolio,96096,0.1167
q_relative::6,0.00415,0.003004,1.38,0.1672,2plus_highfiler_portfolio,96096,0.1167
q_relative::7,0.003156,0.002998,1.05,0.2926,2plus_highfiler_portfolio,96096,0.1167
q_relative::8,0.000719,0.003037,0.24,0.8127,2plus_highfiler_portfolio,96096,0.1167
q_relative::9,0.005469,0.003341,1.64,0.1017,2plus_highfiler_portfolio,96096,0.1167
q_relative::10,0.004736,0.003444,1.37,0.1692,2plus_highfiler_portfolio,96096,0.1167
q_relative::11,0.003267,0.003515,0.93,0.3527,2plus_highfiler_portfolio,96096,0.1167
q_relative::12,0.002924,0.003698,0.79,0.4291,2plus_highfiler_portfolio,96096,0.1167
q_relative::13,0.00215,0.00355,0.61,0.5447,2plus_highfiler_portfolio,96096,0.1167
q_relative::14,0.002505,0.00405,0.62,0.5363,2plus_highfiler_portfolio,96096,0.1167
q_relative::15,0.001249,0.004224,0.3,0.7675,2plus_highfiler_portfolio,96096,0.1167
q_relative::16,0.003196,0.00396,0.81,0.4197,2plus_highfiler_portfolio,96096,0.1167
q_relative::17,0.003807,0.004074,0.93,0.3501,2plus_highfiler_portfolio,96096,0.1167
q_relative::18,-0.000555,0.004239,-0.13,0.8958,2plus_highfiler_portfolio,96096,0.1167
q_relative::19,-0.002723,0.004077,-0.67,0.5043,2plus_highfiler_portfolio,96096,0.1167
q_relative::20,-0.001495,0.004332,-0.35,0.7301,2plus_highfiler_portfolio,96096,0.1167
q_relative::-12,0.001055,0.002323,0.45,0.6499,2plus_lowfiler_portfolio,91984,0.043
q_relative::-11,0.003994,0.002243,1.78,0.0751,2plus_lowfiler_portfolio,91984,0.043
q_relative::-10,0.00048,0.002159,0.22,0.8239,2plus_lowfiler_portfolio,91984,0.043
q_relative::-9,0.000241,0.00193,0.13,0.9005,2plus_lowfiler_portfolio,91984,0.043
q_relative::-8,0.002098,0.001932,1.09,0.2776,2plus_lowfiler_portfolio,91984,0.043
q_relative::-7,-4.2e-05,0.001924,-0.02,0.9824,2plus_lowfiler_portfolio,91984,0.043
q_relative::-6,-0.001081,0.001814,-0.6,0.5512,2plus_lowfiler_portfolio,91984,0.043
q_relative::-5,-0.002237,0.001667,-1.34,0.1795,2plus_lowfiler_portfolio,91984,0.043
q_relative::-3,-0.002924,0.001783,-1.64,0.1012,2plus_lowfiler_portfolio,91984,0.043
q_relative::-2,-0.001589,0.001854,-0.86,0.3914,2plus_lowfiler_portfolio,91984,0.043
q_relative::-1,-0.002554,0.001992,-1.28,0.1999,2plus_lowfiler_portfolio,91984,0.043
q_relative::0,-0.003272,0.002066,-1.58,0.1133,2plus_lowfiler_portfolio,91984,0.043
q_relative::1,-0.001836,0.002145,-0.86,0.392,2plus_lowfiler_portfolio,91984,0.043
