term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.002023,0.001295,1.56,0.1181,temporal_highfiler_portfolio,609163,0.0421
q_relative::-11,0.000896,0.001247,0.72,0.4725,temporal_highfiler_portfolio,609163,0.0421
q_relative::-10,0.001046,0.00126,0.83,0.4068,temporal_highfiler_portfolio,609163,0.0421
q_relative::-9,0.000812,0.001238,0.66,0.5118,temporal_highfiler_portfolio,609163,0.0421
q_relative::-8,-0.000377,0.001203,-0.31,0.754,temporal_highfiler_portfolio,609163,0.0421
q_relative::-7,0.000981,0.001241,0.79,0.4296,temporal_highfiler_portfolio,609163,0.0421
q_relative::-6,-0.001206,0.001172,-1.03,0.3036,temporal_highfiler_portfolio,609163,0.0421
q_relative::-5,0.001506,0.001213,1.24,0.2144,temporal_highfiler_portfolio,609163,0.0421
q_relative::-3,-0.000697,0.001189,-0.59,0.5578,temporal_highfiler_portfolio,609163,0.0421
q_relative::-2,0.003129,0.001246,2.51,0.0121,temporal_highfiler_portfolio,609163,0.0421
q_relative::-1,-0.001209,0.001203,-1,0.3151,temporal_highfiler_portfolio,609163,0.0421
q_relative::0,-0.003628,0.0012,-3.02,0.0025,temporal_highfiler_portfolio,609163,0.0421
q_relative::1,-6.8e-05,0.001275,-0.05,0.9578,temporal_highfiler_portfolio,609163,0.0421
q_relative::2,0.001383,0.001301,1.06,0.2879,temporal_highfiler_portfolio,609163,0.0421
q_relative::3,0.006411,0.001426,4.5,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::4,0.008638,0.001459,5.92,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::5,0.009767,0.00151,6.47,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::6,0.009128,0.001522,6,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::7,0.011497,0.001581,7.27,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::8,0.011303,0.00163,6.93,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::9,0.012729,0.001695,7.51,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::10,0.010493,0.001674,6.27,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::11,0.013054,0.00178,7.33,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::12,0.012158,0.001807,6.73,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::13,0.009956,0.00176,5.66,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::14,0.008303,0.001806,4.6,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::15,0.009945,0.001893,5.25,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::16,0.009494,0.001936,4.9,0,temporal_highfiler_portfolio,609163,0.0421
q_relative::17,0.006993,0.001902,3.68,2e-04,temporal_highfiler_portfolio,609163,0.0421
q_relative::18,0.006241,0.001966,3.17,0.0015,temporal_highfiler_portfolio,609163,0.0421
q_relative::19,0.007101,0.002005,3.54,4e-04,temporal_highfiler_portfolio,609163,0.0421
q_relative::20,0.005738,0.002043,2.81,0.005,temporal_highfiler_portfolio,609163,0.0421
q_relative::-12,0.003339,0.001174,2.84,0.0045,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-11,0.002814,0.001109,2.54,0.0112,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-10,0.001931,0.001065,1.81,0.0698,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-9,0.001381,0.001005,1.37,0.1694,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-8,0.002073,0.001015,2.04,0.041,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-7,0.000557,0.000944,0.59,0.5552,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-6,0.001074,0.000955,1.12,0.2608,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-5,0.000101,0.000895,0.11,0.9098,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-3,0.000239,0.000935,0.26,0.7979,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-2,0.001699,0.001018,1.67,0.0953,temporal_lowfiler_portfolio,522854,0.0334
q_relative::-1,2.7e-05,0.001017,0.03,0.9787,temporal_lowfiler_portfolio,522854,0.0334
q_relative::0,-0.000332,0.001052,-0.32,0.7524,temporal_lowfiler_portfolio,522854,0.0334
q_relative::1,0.002528,0.001143,2.21,0.027,temporal_lowfiler_portfolio,522854,0.0334
q_relative::2,0.005131,0.001249,4.11,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::3,0.009408,0.001357,6.93,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::4,0.009874,0.00144,6.86,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::5,0.010626,0.001507,7.05,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::6,0.011425,0.001559,7.33,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::7,0.012802,0.001672,7.65,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::8,0.012845,0.001828,7.03,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::9,0.013415,0.001801,7.45,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::10,0.012793,0.00189,6.77,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::11,0.014449,0.001985,7.28,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::12,0.01125,0.002067,5.44,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::13,0.010932,0.002091,5.23,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::14,0.010299,0.002153,4.78,0,temporal_lowfiler_portfolio,522854,0.0334
q_relative::15,0.011726,0.002318,5.06,0,temporal_lowfiler_portfolio,522854,0.0334
