term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.002091,0.000368,-5.68,0,full_unweighted,5721271,0.0821
q_relative::-11,-0.002184,0.000373,-5.86,0,full_unweighted,5721271,0.0821
q_relative::-10,-0.002077,0.000371,-5.59,0,full_unweighted,5721271,0.0821
q_relative::-9,-0.001814,0.000368,-4.93,0,full_unweighted,5721271,0.0821
q_relative::-8,-0.002273,0.000368,-6.18,0,full_unweighted,5721271,0.0821
q_relative::-7,-0.002128,0.000363,-5.86,0,full_unweighted,5721271,0.0821
q_relative::-6,-0.001654,0.000365,-4.53,0,full_unweighted,5721271,0.0821
q_relative::-5,-0.001055,0.000366,-2.88,0.0039,full_unweighted,5721271,0.0821
q_relative::-3,0.000616,0.000378,1.63,0.1032,full_unweighted,5721271,0.0821
q_relative::-2,0.001818,0.000386,4.71,0,full_unweighted,5721271,0.0821
q_relative::-1,-0.002091,0.000358,-5.85,0,full_unweighted,5721271,0.0821
q_relative::0,-0.005048,0.000341,-14.8,0,full_unweighted,5721271,0.0821
q_relative::1,-0.003416,0.000359,-9.51,0,full_unweighted,5721271,0.0821
q_relative::2,-0.001664,0.000369,-4.51,0,full_unweighted,5721271,0.0821
q_relative::3,0.000797,0.000386,2.07,0.0388,full_unweighted,5721271,0.0821
q_relative::4,0.001952,0.000393,4.97,0,full_unweighted,5721271,0.0821
q_relative::5,0.002099,4e-04,5.25,0,full_unweighted,5721271,0.0821
q_relative::6,0.002653,0.000399,6.65,0,full_unweighted,5721271,0.0821
q_relative::7,0.002684,0.000408,6.57,0,full_unweighted,5721271,0.0821
q_relative::8,0.003188,0.000416,7.67,0,full_unweighted,5721271,0.0821
q_relative::9,0.002688,0.000409,6.57,0,full_unweighted,5721271,0.0821
q_relative::10,0.002892,0.000402,7.2,0,full_unweighted,5721271,0.0821
q_relative::11,0.003334,0.00041,8.14,0,full_unweighted,5721271,0.0821
q_relative::12,0.002145,0.000406,5.28,0,full_unweighted,5721271,0.0821
q_relative::13,0.002299,0.000408,5.64,0,full_unweighted,5721271,0.0821
q_relative::14,0.002072,0.000419,4.94,0,full_unweighted,5721271,0.0821
q_relative::15,0.001697,0.000402,4.22,0,full_unweighted,5721271,0.0821
q_relative::16,0.002016,0.000408,4.94,0,full_unweighted,5721271,0.0821
q_relative::17,0.00223,0.000405,5.5,0,full_unweighted,5721271,0.0821
q_relative::18,0.001053,0.000401,2.62,0.0087,full_unweighted,5721271,0.0821
q_relative::19,0.001771,0.000416,4.26,0,full_unweighted,5721271,0.0821
q_relative::20,0.00198,0.000415,4.77,0,full_unweighted,5721271,0.0821
q_relative::-12,-0.001537,0.000409,-3.76,2e-04,full_unit_weighted,5721271,0.0971
q_relative::-11,-0.001126,0.000429,-2.63,0.0086,full_unit_weighted,5721271,0.0971
q_relative::-10,-0.001787,0.000425,-4.2,0,full_unit_weighted,5721271,0.0971
q_relative::-9,-0.001573,0.000411,-3.83,1e-04,full_unit_weighted,5721271,0.0971
q_relative::-8,-0.00183,0.000445,-4.11,0,full_unit_weighted,5721271,0.0971
q_relative::-7,-0.001304,0.000446,-2.92,0.0035,full_unit_weighted,5721271,0.0971
q_relative::-6,-0.001695,0.000406,-4.18,0,full_unit_weighted,5721271,0.0971
q_relative::-5,-0.000581,0.000427,-1.36,0.1733,full_unit_weighted,5721271,0.0971
q_relative::-3,0.00028,0.000415,0.68,0.4995,full_unit_weighted,5721271,0.0971
q_relative::-2,0.001235,0.000411,3,0.0027,full_unit_weighted,5721271,0.0971
q_relative::-1,-0.001851,0.000414,-4.48,0,full_unit_weighted,5721271,0.0971
q_relative::0,-0.004123,0.000408,-10.1,0,full_unit_weighted,5721271,0.0971
q_relative::1,-0.001763,0.000491,-3.59,3e-04,full_unit_weighted,5721271,0.0971
q_relative::2,-0.001481,0.000429,-3.46,5e-04,full_unit_weighted,5721271,0.0971
q_relative::3,0.000635,0.000455,1.4,0.1625,full_unit_weighted,5721271,0.0971
q_relative::4,0.001708,0.000442,3.87,1e-04,full_unit_weighted,5721271,0.0971
q_relative::5,0.001575,0.000459,3.44,6e-04,full_unit_weighted,5721271,0.0971
q_relative::6,0.00232,0.000451,5.15,0,full_unit_weighted,5721271,0.0971
q_relative::7,0.002322,0.000484,4.79,0,full_unit_weighted,5721271,0.0971
q_relative::8,0.002725,0.000464,5.88,0,full_unit_weighted,5721271,0.0971
q_relative::9,0.002295,0.000487,4.72,0,full_unit_weighted,5721271,0.0971
q_relative::10,0.002488,0.000552,4.51,0,full_unit_weighted,5721271,0.0971
q_relative::11,0.002885,0.000511,5.65,0,full_unit_weighted,5721271,0.0971
q_relative::12,0.001867,0.00051,3.66,3e-04,full_unit_weighted,5721271,0.0971
q_relative::13,0.002416,0.000461,5.24,0,full_unit_weighted,5721271,0.0971
q_relative::14,0.002471,0.000575,4.3,0,full_unit_weighted,5721271,0.0971
q_relative::15,0.001837,0.000502,3.66,3e-04,full_unit_weighted,5721271,0.0971
q_relative::16,0.002279,0.000508,4.49,0,full_unit_weighted,5721271,0.0971
q_relative::17,0.002407,0.000485,4.96,0,full_unit_weighted,5721271,0.0971
q_relative::18,0.001233,0.000473,2.61,0.0091,full_unit_weighted,5721271,0.0971
q_relative::19,0.001631,0.000483,3.38,7e-04,full_unit_weighted,5721271,0.0971
q_relative::20,0.001741,0.000504,3.45,6e-04,full_unit_weighted,5721271,0.0971
q_relative::-12,-0.002033,0.000368,-5.52,0,full_geoid_x_yq,5720666,0.0884
q_relative::-11,-0.00206,0.000374,-5.5,0,full_geoid_x_yq,5720666,0.0884
q_relative::-10,-0.002049,0.000374,-5.47,0,full_geoid_x_yq,5720666,0.0884
q_relative::-9,-0.001808,0.000368,-4.91,0,full_geoid_x_yq,5720666,0.0884
q_relative::-8,-0.002202,0.000369,-5.97,0,full_geoid_x_yq,5720666,0.0884
q_relative::-7,-0.002055,0.000363,-5.66,0,full_geoid_x_yq,5720666,0.0884
q_relative::-6,-0.001623,0.000364,-4.46,0,full_geoid_x_yq,5720666,0.0884
q_relative::-5,-0.001003,0.000366,-2.74,0.0061,full_geoid_x_yq,5720666,0.0884
q_relative::-3,0.000601,0.000377,1.59,0.1114,full_geoid_x_yq,5720666,0.0884
q_relative::-2,0.001814,0.000387,4.69,0,full_geoid_x_yq,5720666,0.0884
q_relative::-1,-0.002085,0.000359,-5.81,0,full_geoid_x_yq,5720666,0.0884
q_relative::0,-0.005095,0.000343,-14.86,0,full_geoid_x_yq,5720666,0.0884
q_relative::1,-0.003403,0.000362,-9.39,0,full_geoid_x_yq,5720666,0.0884
q_relative::2,-0.0017,0.000372,-4.57,0,full_geoid_x_yq,5720666,0.0884
q_relative::3,0.000703,0.000388,1.81,0.0703,full_geoid_x_yq,5720666,0.0884
q_relative::4,0.001917,0.000396,4.84,0,full_geoid_x_yq,5720666,0.0884
q_relative::5,0.00209,0.000397,5.26,0,full_geoid_x_yq,5720666,0.0884
q_relative::6,0.002555,0.000398,6.43,0,full_geoid_x_yq,5720666,0.0884
q_relative::7,0.002596,0.000405,6.41,0,full_geoid_x_yq,5720666,0.0884
q_relative::8,0.003058,0.00041,7.45,0,full_geoid_x_yq,5720666,0.0884
q_relative::9,0.002657,0.000406,6.55,0,full_geoid_x_yq,5720666,0.0884
q_relative::10,0.002786,0.000401,6.94,0,full_geoid_x_yq,5720666,0.0884
q_relative::11,0.003225,0.000409,7.89,0,full_geoid_x_yq,5720666,0.0884
q_relative::12,0.002129,0.000407,5.23,0,full_geoid_x_yq,5720666,0.0884
q_relative::13,0.002206,0.000409,5.4,0,full_geoid_x_yq,5720666,0.0884
q_relative::14,0.002001,0.000415,4.82,0,full_geoid_x_yq,5720666,0.0884
q_relative::15,0.001578,0.000401,3.93,1e-04,full_geoid_x_yq,5720666,0.0884
q_relative::16,0.001877,0.000407,4.61,0,full_geoid_x_yq,5720666,0.0884
q_relative::17,0.002242,0.000404,5.56,0,full_geoid_x_yq,5720666,0.0884
q_relative::18,0.000986,4e-04,2.47,0.0137,full_geoid_x_yq,5720666,0.0884
q_relative::19,0.001662,0.000415,4.01,1e-04,full_geoid_x_yq,5720666,0.0884
q_relative::20,0.001832,0.000411,4.45,0,full_geoid_x_yq,5720666,0.0884
q_relative::-12,-0.000333,0.001382,-0.24,0.8094,5plus_unweighted,79423,0.2931
q_relative::-11,0.001143,0.001281,0.89,0.3721,5plus_unweighted,79423,0.2931
q_relative::-10,-0.000511,0.001277,-0.4,0.6888,5plus_unweighted,79423,0.2931
q_relative::-9,0.000228,0.001328,0.17,0.8636,5plus_unweighted,79423,0.2931
q_relative::-8,0.000123,0.001263,0.1,0.9222,5plus_unweighted,79423,0.2931
q_relative::-7,0.000992,0.001184,0.84,0.4025,5plus_unweighted,79423,0.2931
q_relative::-6,-0.000615,0.001444,-0.43,0.6703,5plus_unweighted,79423,0.2931
q_relative::-5,-0.000833,0.001267,-0.66,0.511,5plus_unweighted,79423,0.2931
q_relative::-3,-0.000534,0.001318,-0.4,0.6855,5plus_unweighted,79423,0.2931
q_relative::-2,-0.000458,0.001425,-0.32,0.748,5plus_unweighted,79423,0.2931
q_relative::-1,-0.000549,0.001553,-0.35,0.7239,5plus_unweighted,79423,0.2931
q_relative::0,-0.002344,0.00136,-1.72,0.0851,5plus_unweighted,79423,0.2931
q_relative::1,0.002236,0.001577,1.42,0.1564,5plus_unweighted,79423,0.2931
q_relative::2,0.000809,0.001443,0.56,0.5751,5plus_unweighted,79423,0.2931
q_relative::3,0.001249,0.001516,0.82,0.4101,5plus_unweighted,79423,0.2931
q_relative::4,0.002685,0.001455,1.85,0.0651,5plus_unweighted,79423,0.2931
q_relative::5,0.002116,0.001525,1.39,0.1652,5plus_unweighted,79423,0.2931
q_relative::6,0.001912,0.001474,1.3,0.1947,5plus_unweighted,79423,0.2931
q_relative::7,0.002671,0.001604,1.67,0.096,5plus_unweighted,79423,0.2931
q_relative::8,0.002195,0.001636,1.34,0.1798,5plus_unweighted,79423,0.2931
q_relative::9,0.003121,0.001725,1.81,0.0705,5plus_unweighted,79423,0.2931
q_relative::10,0.002321,0.001725,1.35,0.1786,5plus_unweighted,79423,0.2931
q_relative::11,0.003946,0.001964,2.01,0.0446,5plus_unweighted,79423,0.2931
q_relative::12,0.001559,0.00185,0.84,0.3996,5plus_unweighted,79423,0.2931
q_relative::13,0.002487,0.001668,1.49,0.1359,5plus_unweighted,79423,0.2931
q_relative::14,0.00308,0.001866,1.65,0.0989,5plus_unweighted,79423,0.2931
q_relative::15,0.002794,0.001724,1.62,0.1052,5plus_unweighted,79423,0.2931
q_relative::16,0.002363,0.001672,1.41,0.1577,5plus_unweighted,79423,0.2931
q_relative::17,0.003817,0.001763,2.17,0.0305,5plus_unweighted,79423,0.2931
q_relative::18,0.00295,0.001777,1.66,0.0969,5plus_unweighted,79423,0.2931
q_relative::19,0.001822,0.001771,1.03,0.3038,5plus_unweighted,79423,0.2931
q_relative::20,0.001936,0.001727,1.12,0.2623,5plus_unweighted,79423,0.2931
q_relative::-12,-0.000959,0.00153,-0.63,0.5311,5plus_unit_weighted,79423,0.3761
q_relative::-11,0.00115,0.001624,0.71,0.4789,5plus_unit_weighted,79423,0.3761
q_relative::-10,-0.001479,0.001618,-0.91,0.3606,5plus_unit_weighted,79423,0.3761
q_relative::-9,-0.00075,0.00157,-0.48,0.633,5plus_unit_weighted,79423,0.3761
q_relative::-8,-0.001275,0.001757,-0.73,0.468,5plus_unit_weighted,79423,0.3761
q_relative::-7,0.001241,0.001751,0.71,0.4785,5plus_unit_weighted,79423,0.3761
q_relative::-6,-0.002423,0.001564,-1.55,0.1216,5plus_unit_weighted,79423,0.3761
q_relative::-5,0.00093,0.001689,0.55,0.582,5plus_unit_weighted,79423,0.3761
q_relative::-3,-0.000907,0.001566,-0.58,0.5627,5plus_unit_weighted,79423,0.3761
q_relative::-2,-0.000639,0.001499,-0.43,0.6698,5plus_unit_weighted,79423,0.3761
q_relative::-1,-0.001727,0.00165,-1.05,0.2955,5plus_unit_weighted,79423,0.3761
q_relative::0,-0.003043,0.00163,-1.87,0.062,5plus_unit_weighted,79423,0.3761
q_relative::1,0.002482,0.002124,1.17,0.2425,5plus_unit_weighted,79423,0.3761
