term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.000194,0.001806,-0.11,0.9146,corporate_5plus,56151,0.3202
q_relative::-11,0.001006,0.001657,0.61,0.5437,corporate_5plus,56151,0.3202
q_relative::-10,-0.000773,0.001615,-0.48,0.632,corporate_5plus,56151,0.3202
q_relative::-9,0.000299,0.001667,0.18,0.8575,corporate_5plus,56151,0.3202
q_relative::-8,4.4e-05,0.001659,0.03,0.9789,corporate_5plus,56151,0.3202
q_relative::-7,0.001515,0.001474,1.03,0.3043,corporate_5plus,56151,0.3202
q_relative::-6,-0.000364,0.001894,-0.19,0.8476,corporate_5plus,56151,0.3202
q_relative::-5,-0.00151,0.001582,-0.95,0.3398,corporate_5plus,56151,0.3202
q_relative::-3,-0.001205,0.001667,-0.72,0.4696,corporate_5plus,56151,0.3202
q_relative::-2,0.000314,0.00186,0.17,0.866,corporate_5plus,56151,0.3202
q_relative::-1,-0.000513,0.002004,-0.26,0.7981,corporate_5plus,56151,0.3202
q_relative::0,-0.002473,0.001717,-1.44,0.1499,corporate_5plus,56151,0.3202
q_relative::1,0.00309,0.002012,1.54,0.1247,corporate_5plus,56151,0.3202
q_relative::2,0.00173,0.001794,0.96,0.335,corporate_5plus,56151,0.3202
q_relative::3,0.002155,0.001924,1.12,0.2628,corporate_5plus,56151,0.3202
q_relative::4,0.00264,0.001775,1.49,0.1371,corporate_5plus,56151,0.3202
q_relative::5,0.002612,0.001902,1.37,0.1698,corporate_5plus,56151,0.3202
q_relative::6,0.002133,0.001897,1.12,0.2611,corporate_5plus,56151,0.3202
q_relative::7,0.003702,0.002025,1.83,0.0677,corporate_5plus,56151,0.3202
q_relative::8,0.002799,0.002042,1.37,0.1707,corporate_5plus,56151,0.3202
q_relative::9,0.00376,0.002119,1.77,0.0762,corporate_5plus,56151,0.3202
q_relative::10,0.003087,0.002169,1.42,0.1549,corporate_5plus,56151,0.3202
q_relative::11,0.003765,0.00227,1.66,0.0974,corporate_5plus,56151,0.3202
q_relative::12,0.002465,0.002346,1.05,0.2935,corporate_5plus,56151,0.3202
q_relative::13,0.003515,0.002127,1.65,0.0986,corporate_5plus,56151,0.3202
q_relative::14,0.003898,0.002431,1.6,0.109,corporate_5plus,56151,0.3202
q_relative::15,0.002314,0.002111,1.1,0.2732,corporate_5plus,56151,0.3202
q_relative::16,0.001902,0.00194,0.98,0.3271,corporate_5plus,56151,0.3202
q_relative::17,0.004968,0.002251,2.21,0.0275,corporate_5plus,56151,0.3202
q_relative::18,0.003975,0.00239,1.66,0.0964,corporate_5plus,56151,0.3202
q_relative::19,0.001698,0.002257,0.75,0.4521,corporate_5plus,56151,0.3202
q_relative::20,0.002565,0.002172,1.18,0.2377,corporate_5plus,56151,0.3202
q_relative::-12,-0.000719,0.001856,-0.39,0.6986,individual_5plus,23257,0.1443
q_relative::-11,0.001509,0.00187,0.81,0.4199,individual_5plus,23257,0.1443
q_relative::-10,3e-04,0.001958,0.15,0.8785,individual_5plus,23257,0.1443
q_relative::-9,-5e-06,0.002027,0,0.9982,individual_5plus,23257,0.1443
q_relative::-8,0.000365,0.001657,0.22,0.8259,individual_5plus,23257,0.1443
q_relative::-7,1e-06,0.001944,0,0.9994,individual_5plus,23257,0.1443
q_relative::-6,-0.001062,0.001925,-0.55,0.5813,individual_5plus,23257,0.1443
q_relative::-5,0.000839,0.001945,0.43,0.6663,individual_5plus,23257,0.1443
q_relative::-3,0.00135,0.001947,0.69,0.4882,individual_5plus,23257,0.1443
q_relative::-2,-0.002236,0.001903,-1.17,0.2402,individual_5plus,23257,0.1443
q_relative::-1,-0.000582,0.002244,-0.26,0.7953,individual_5plus,23257,0.1443
q_relative::0,-0.00195,0.002151,-0.91,0.3648,individual_5plus,23257,0.1443
q_relative::1,0.000432,0.002281,0.19,0.8497,individual_5plus,23257,0.1443
q_relative::2,-0.001522,0.00228,-0.67,0.5045,individual_5plus,23257,0.1443
q_relative::3,-0.001178,0.002359,-0.5,0.6177,individual_5plus,23257,0.1443
q_relative::4,0.002641,0.002192,1.2,0.2285,individual_5plus,23257,0.1443
q_relative::5,0.000615,0.002211,0.28,0.7811,individual_5plus,23257,0.1443
q_relative::6,0.00077,0.002119,0.36,0.7166,individual_5plus,23257,0.1443
q_relative::7,-0.000235,0.002463,-0.1,0.9238,individual_5plus,23257,0.1443
q_relative::8,0.000379,0.00245,0.15,0.8772,individual_5plus,23257,0.1443
q_relative::9,0.001217,0.002668,0.46,0.6483,individual_5plus,23257,0.1443
q_relative::10,-0.000312,0.002515,-0.12,0.9013,individual_5plus,23257,0.1443
q_relative::11,0.003854,0.004024,0.96,0.3383,individual_5plus,23257,0.1443
q_relative::12,-0.001333,0.002526,-0.53,0.5979,individual_5plus,23257,0.1443
q_relative::13,-0.000879,0.002558,-0.34,0.7311,individual_5plus,23257,0.1443
q_relative::14,0.000298,0.002213,0.13,0.8928,individual_5plus,23257,0.1443
q_relative::15,0.002954,0.002816,1.05,0.2944,individual_5plus,23257,0.1443
q_relative::16,0.002221,0.002986,0.74,0.4572,individual_5plus,23257,0.1443
q_relative::17,0.000147,0.002602,0.06,0.9548,individual_5plus,23257,0.1443
q_relative::18,-0.000485,0.002535,-0.19,0.8484,individual_5plus,23257,0.1443
q_relative::19,0.001007,0.002387,0.42,0.6733,individual_5plus,23257,0.1443
q_relative::20,-0.000398,0.002543,-0.16,0.8756,individual_5plus,23257,0.1443
q_relative::-12,0.001188,0.00108,1.1,0.2712,corporate_2plus,377173,0.1056
q_relative::-11,0.001911,0.001064,1.8,0.0725,corporate_2plus,377173,0.1056
q_relative::-10,-0.000916,0.001017,-0.9,0.3679,corporate_2plus,377173,0.1056
q_relative::-9,-0.000597,0.000971,-0.61,0.5388,corporate_2plus,377173,0.1056
q_relative::-8,-0.000155,0.00102,-0.15,0.8795,corporate_2plus,377173,0.1056
q_relative::-7,1.9e-05,0.001026,0.02,0.9854,corporate_2plus,377173,0.1056
q_relative::-6,-0.002038,0.000923,-2.21,0.0273,corporate_2plus,377173,0.1056
q_relative::-5,-0.001347,0.000905,-1.49,0.1365,corporate_2plus,377173,0.1056
q_relative::-3,-0.001591,0.00093,-1.71,0.0873,corporate_2plus,377173,0.1056
q_relative::-2,-0.001129,0.000962,-1.17,0.2406,corporate_2plus,377173,0.1056
q_relative::-1,-0.002309,0.000956,-2.41,0.0158,corporate_2plus,377173,0.1056
q_relative::0,-0.002011,0.001058,-1.9,0.0573,corporate_2plus,377173,0.1056
q_relative::1,0.001508,0.001105,1.36,0.1726,corporate_2plus,377173,0.1056
q_relative::2,-4.7e-05,0.00101,-0.05,0.9632,corporate_2plus,377173,0.1056
q_relative::3,0.001828,0.001073,1.7,0.0885,corporate_2plus,377173,0.1056
q_relative::4,0.001712,0.001073,1.6,0.1105,corporate_2plus,377173,0.1056
q_relative::5,0.003408,0.001129,3.02,0.0025,corporate_2plus,377173,0.1056
q_relative::6,0.003859,0.001155,3.34,8e-04,corporate_2plus,377173,0.1056
q_relative::7,0.00241,0.001126,2.14,0.0324,corporate_2plus,377173,0.1056
q_relative::8,0.003532,0.001175,3.01,0.0026,corporate_2plus,377173,0.1056
q_relative::9,0.003386,0.001187,2.85,0.0043,corporate_2plus,377173,0.1056
q_relative::10,0.00512,0.001213,4.22,0,corporate_2plus,377173,0.1056
q_relative::11,0.003868,0.001207,3.2,0.0014,corporate_2plus,377173,0.1056
q_relative::12,0.002242,0.001237,1.81,0.07,corporate_2plus,377173,0.1056
q_relative::13,0.003736,0.00123,3.04,0.0024,corporate_2plus,377173,0.1056
q_relative::14,0.002112,0.001235,1.71,0.0874,corporate_2plus,377173,0.1056
q_relative::15,0.002484,0.001253,1.98,0.0474,corporate_2plus,377173,0.1056
q_relative::16,0.00295,0.001257,2.35,0.0189,corporate_2plus,377173,0.1056
q_relative::17,0.004373,0.001349,3.24,0.0012,corporate_2plus,377173,0.1056
q_relative::18,0.003057,0.00128,2.39,0.0169,corporate_2plus,377173,0.1056
q_relative::19,0.003068,0.001359,2.26,0.024,corporate_2plus,377173,0.1056
q_relative::20,0.002129,0.001323,1.61,0.1076,corporate_2plus,377173,0.1056
q_relative::-12,-0.000944,0.000725,-1.3,0.1928,individual_2plus,690872,0.0572
q_relative::-11,-0.000224,0.000715,-0.31,0.7539,individual_2plus,690872,0.0572
q_relative::-10,-0.000299,0.000713,-0.42,0.6747,individual_2plus,690872,0.0572
q_relative::-9,-0.001542,0.000693,-2.22,0.0261,individual_2plus,690872,0.0572
q_relative::-8,-0.000657,0.000703,-0.94,0.3495,individual_2plus,690872,0.0572
