term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.003164,0.002786,-1.14,0.2563,known_rental_5plus_corporate,49731,0.2917
q_relative::-11,0.000413,0.00255,0.16,0.8712,known_rental_5plus_corporate,49731,0.2917
q_relative::-10,-0.002193,0.002535,-0.86,0.3872,known_rental_5plus_corporate,49731,0.2917
q_relative::-9,-0.000586,0.002576,-0.23,0.8199,known_rental_5plus_corporate,49731,0.2917
q_relative::-8,-0.000393,0.002691,-0.15,0.884,known_rental_5plus_corporate,49731,0.2917
q_relative::-7,0.002184,0.002445,0.89,0.3719,known_rental_5plus_corporate,49731,0.2917
q_relative::-6,0.000163,0.002987,0.05,0.9566,known_rental_5plus_corporate,49731,0.2917
q_relative::-5,-0.00226,0.002402,-0.94,0.3469,known_rental_5plus_corporate,49731,0.2917
q_relative::-3,-0.001621,0.002382,-0.68,0.4963,known_rental_5plus_corporate,49731,0.2917
q_relative::-2,0.001924,0.002622,0.73,0.4631,known_rental_5plus_corporate,49731,0.2917
q_relative::-1,-0.000763,0.002772,-0.28,0.783,known_rental_5plus_corporate,49731,0.2917
q_relative::0,-0.004913,0.002372,-2.07,0.0385,known_rental_5plus_corporate,49731,0.2917
q_relative::1,0.001855,0.002591,0.72,0.474,known_rental_5plus_corporate,49731,0.2917
q_relative::2,0.003476,0.002615,1.33,0.184,known_rental_5plus_corporate,49731,0.2917
q_relative::3,0.003082,0.002373,1.3,0.1942,known_rental_5plus_corporate,49731,0.2917
q_relative::4,0.002627,0.002365,1.11,0.2668,known_rental_5plus_corporate,49731,0.2917
q_relative::5,0.003277,0.002461,1.33,0.1832,known_rental_5plus_corporate,49731,0.2917
q_relative::6,0.002511,0.002572,0.98,0.329,known_rental_5plus_corporate,49731,0.2917
q_relative::7,0.003901,0.00255,1.53,0.1262,known_rental_5plus_corporate,49731,0.2917
q_relative::8,0.002262,0.002603,0.87,0.385,known_rental_5plus_corporate,49731,0.2917
q_relative::9,0.003778,0.002728,1.38,0.1664,known_rental_5plus_corporate,49731,0.2917
q_relative::10,0.003057,0.002743,1.11,0.2652,known_rental_5plus_corporate,49731,0.2917
q_relative::11,0.005137,0.002691,1.91,0.0564,known_rental_5plus_corporate,49731,0.2917
q_relative::12,0.001954,0.002812,0.69,0.4873,known_rental_5plus_corporate,49731,0.2917
q_relative::13,0.002469,0.002666,0.93,0.3545,known_rental_5plus_corporate,49731,0.2917
q_relative::14,0.005064,0.002768,1.83,0.0675,known_rental_5plus_corporate,49731,0.2917
q_relative::15,0.002746,0.00254,1.08,0.2797,known_rental_5plus_corporate,49731,0.2917
q_relative::16,0.002324,0.002645,0.88,0.3797,known_rental_5plus_corporate,49731,0.2917
q_relative::17,0.00721,0.002765,2.61,0.0092,known_rental_5plus_corporate,49731,0.2917
q_relative::18,0.006186,0.002949,2.1,0.0361,known_rental_5plus_corporate,49731,0.2917
q_relative::19,0.002845,0.002768,1.03,0.3042,known_rental_5plus_corporate,49731,0.2917
q_relative::20,0.002603,0.002667,0.98,0.3292,known_rental_5plus_corporate,49731,0.2917
q_relative::-12,-0.003842,0.003014,-1.27,0.2026,known_rental_5plus_individual,17196,0.1708
q_relative::-11,0.000171,0.003098,0.06,0.956,known_rental_5plus_individual,17196,0.1708
q_relative::-10,-0.001939,0.003254,-0.6,0.5515,known_rental_5plus_individual,17196,0.1708
q_relative::-9,-0.002004,0.003209,-0.62,0.5323,known_rental_5plus_individual,17196,0.1708
q_relative::-8,-0.001806,0.002671,-0.68,0.4991,known_rental_5plus_individual,17196,0.1708
q_relative::-7,-0.003228,0.003016,-1.07,0.2847,known_rental_5plus_individual,17196,0.1708
q_relative::-6,-0.004017,0.003063,-1.31,0.19,known_rental_5plus_individual,17196,0.1708
q_relative::-5,-0.00131,0.003001,-0.44,0.6626,known_rental_5plus_individual,17196,0.1708
q_relative::-3,0.001215,0.003065,0.4,0.6919,known_rental_5plus_individual,17196,0.1708
q_relative::-2,-0.005133,0.002829,-1.81,0.0699,known_rental_5plus_individual,17196,0.1708
q_relative::-1,-0.002786,0.003369,-0.83,0.4083,known_rental_5plus_individual,17196,0.1708
q_relative::0,-0.004666,0.00289,-1.61,0.1066,known_rental_5plus_individual,17196,0.1708
q_relative::1,-0.00143,0.002954,-0.48,0.6283,known_rental_5plus_individual,17196,0.1708
q_relative::2,-0.002873,0.003365,-0.85,0.3934,known_rental_5plus_individual,17196,0.1708
q_relative::3,-0.003538,0.003435,-1.03,0.3032,known_rental_5plus_individual,17196,0.1708
q_relative::4,0.000508,0.003488,0.15,0.8842,known_rental_5plus_individual,17196,0.1708
q_relative::5,-0.002372,0.003467,-0.68,0.4941,known_rental_5plus_individual,17196,0.1708
q_relative::6,-0.00192,0.003364,-0.57,0.5683,known_rental_5plus_individual,17196,0.1708
q_relative::7,-0.003165,0.003736,-0.85,0.3971,known_rental_5plus_individual,17196,0.1708
q_relative::8,-0.002923,0.003623,-0.81,0.42,known_rental_5plus_individual,17196,0.1708
q_relative::9,-0.002762,0.003656,-0.76,0.4501,known_rental_5plus_individual,17196,0.1708
q_relative::10,-0.003721,0.003669,-1.01,0.3107,known_rental_5plus_individual,17196,0.1708
q_relative::11,0.000738,0.005188,0.14,0.8869,known_rental_5plus_individual,17196,0.1708
q_relative::12,-0.006965,0.003634,-1.92,0.0555,known_rental_5plus_individual,17196,0.1708
q_relative::13,-0.004873,0.003697,-1.32,0.1877,known_rental_5plus_individual,17196,0.1708
q_relative::14,-0.005867,0.003209,-1.83,0.0677,known_rental_5plus_individual,17196,0.1708
q_relative::15,-0.00165,0.003799,-0.43,0.6641,known_rental_5plus_individual,17196,0.1708
q_relative::16,-0.001985,0.004153,-0.48,0.6327,known_rental_5plus_individual,17196,0.1708
q_relative::17,-0.004371,0.003782,-1.16,0.248,known_rental_5plus_individual,17196,0.1708
q_relative::18,-0.004883,0.003824,-1.28,0.2019,known_rental_5plus_individual,17196,0.1708
q_relative::19,-0.000334,0.003233,-0.1,0.9176,known_rental_5plus_individual,17196,0.1708
q_relative::20,-0.002297,0.003857,-0.6,0.5517,known_rental_5plus_individual,17196,0.1708
