term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.002554,0.00196,1.3,0.1928,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-11,0.001614,0.00166,0.97,0.331,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-10,0.000551,0.001539,0.36,0.7205,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-9,0.000887,0.001691,0.52,0.5997,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-8,0.001872,0.00167,1.12,0.2623,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-7,0.000647,0.001422,0.45,0.6493,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-6,0.000773,0.002087,0.37,0.7112,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-5,-0.001234,0.00171,-0.72,0.4707,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-3,0.001161,0.001895,0.61,0.5403,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-2,0.001006,0.001828,0.55,0.582,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-1,-0.000166,0.001703,-0.1,0.9222,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::0,-0.002985,0.001825,-1.64,0.1022,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::1,0.004223,0.002189,1.93,0.0539,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::2,0.003301,0.001992,1.66,0.0977,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::3,0.004233,0.001987,2.13,0.0333,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::4,0.003516,0.001961,1.79,0.0732,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::5,0.003638,0.002196,1.66,0.0978,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::6,0.003095,0.001982,1.56,0.1186,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::7,0.004913,0.002222,2.21,0.0272,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::8,0.005782,0.002629,2.2,0.028,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::9,0.005358,0.002595,2.06,0.0391,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::10,0.004753,0.002607,1.82,0.0685,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::11,0.003221,0.002724,1.18,0.2372,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::12,0.002594,0.002876,0.9,0.3673,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::13,0.00484,0.002552,1.9,0.0581,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::14,0.004936,0.003047,1.62,0.1054,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::15,0.002633,0.002443,1.08,0.2811,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::16,0.004897,0.002298,2.13,0.0332,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::17,0.006165,0.002652,2.32,0.0202,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::18,0.004817,0.00271,1.78,0.0756,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::19,0.003799,0.002813,1.35,0.1769,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::20,0.004355,0.002643,1.65,0.0996,5plus_portfolio_Single-purchase,42805,0.3434
q_relative::-12,-0.004831,0.002728,-1.77,0.0769,5plus_portfolio_2-4,20386,0.2761
q_relative::-11,-0.000821,0.002639,-0.31,0.7557,5plus_portfolio_2-4,20386,0.2761
q_relative::-10,-0.006085,0.002706,-2.25,0.0248,5plus_portfolio_2-4,20386,0.2761
q_relative::-9,-0.002164,0.002978,-0.73,0.4675,5plus_portfolio_2-4,20386,0.2761
q_relative::-8,-0.004648,0.002401,-1.94,0.0532,5plus_portfolio_2-4,20386,0.2761
q_relative::-7,0.000109,0.003051,0.04,0.9715,5plus_portfolio_2-4,20386,0.2761
q_relative::-6,-0.002999,0.002731,-1.1,0.2724,5plus_portfolio_2-4,20386,0.2761
q_relative::-5,-0.004369,0.002192,-1.99,0.0466,5plus_portfolio_2-4,20386,0.2761
q_relative::-3,-0.002802,0.002679,-1.05,0.2959,5plus_portfolio_2-4,20386,0.2761
q_relative::-2,-0.004722,0.003146,-1.5,0.1337,5plus_portfolio_2-4,20386,0.2761
q_relative::-1,0.000127,0.00444,0.03,0.9772,5plus_portfolio_2-4,20386,0.2761
q_relative::0,-0.002298,0.002977,-0.77,0.4404,5plus_portfolio_2-4,20386,0.2761
q_relative::1,-0.001127,0.003058,-0.37,0.7125,5plus_portfolio_2-4,20386,0.2761
q_relative::2,-0.00409,0.002878,-1.42,0.1556,5plus_portfolio_2-4,20386,0.2761
q_relative::3,-0.004383,0.00334,-1.31,0.1898,5plus_portfolio_2-4,20386,0.2761
q_relative::4,-0.001303,0.002853,-0.46,0.6479,5plus_portfolio_2-4,20386,0.2761
q_relative::5,-0.000212,0.003212,-0.07,0.9474,5plus_portfolio_2-4,20386,0.2761
