term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.000371,0.000862,0.43,0.6668,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-11,-0.000382,0.000813,-0.47,0.6386,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-10,-8.8e-05,0.000778,-0.11,0.9102,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-9,-0.001588,0.000747,-2.12,0.0336,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-8,-0.000236,8e-04,-0.29,0.7681,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-7,-0.001138,0.000769,-1.48,0.1389,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-6,0.000284,0.000821,0.35,0.7296,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-5,-0.000409,0.000804,-0.51,0.6113,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-3,0.001193,0.000811,1.47,0.1414,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-2,0.001469,0.000842,1.74,0.0811,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-1,-0.000145,0.000794,-0.18,0.8555,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::0,-0.002621,0.000757,-3.46,5e-04,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::1,-0.001093,0.000769,-1.42,0.1555,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::2,-0.000487,0.000806,-0.6,0.5462,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::3,0.000154,0.000816,0.19,0.8507,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::4,0.000875,0.000798,1.1,0.2732,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::5,-0.000383,0.000799,-0.48,0.6317,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::6,-7.2e-05,0.000815,-0.09,0.9301,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::7,-0.000458,0.000788,-0.58,0.5612,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::8,-0.000825,0.000808,-1.02,0.3074,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::9,-0.000489,0.000821,-0.6,0.5518,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::10,-0.00037,0.000806,-0.46,0.6461,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::11,0.00046,0.000849,0.54,0.5876,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::12,-0.000479,0.000837,-0.57,0.567,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::13,-0.000364,0.000836,-0.44,0.6632,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::14,7.9e-05,0.000859,0.09,0.927,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::15,0.000193,0.000848,0.23,0.8198,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::16,-0.000309,0.000838,-0.37,0.7121,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::17,0.001062,0.000894,1.19,0.235,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::18,0.000212,0.000867,0.24,0.8067,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::19,-0.000281,0.000879,-0.32,0.7488,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::20,-0.00014,0.000863,-0.16,0.8714,2plus_portfolio_Single-purchase,505762,0.0774
q_relative::-12,-0.002153,0.001124,-1.92,0.0554,2plus_portfolio_2-4,294126,0.0961
q_relative::-11,0.00041,0.001153,0.36,0.7222,2plus_portfolio_2-4,294126,0.0961
q_relative::-10,-0.002373,0.0011,-2.16,0.031,2plus_portfolio_2-4,294126,0.0961
q_relative::-9,-0.002051,0.001139,-1.8,0.0717,2plus_portfolio_2-4,294126,0.0961
q_relative::-8,-0.001238,0.001117,-1.11,0.2678,2plus_portfolio_2-4,294126,0.0961
q_relative::-7,-0.000934,0.0012,-0.78,0.4362,2plus_portfolio_2-4,294126,0.0961
q_relative::-6,-0.000903,0.001109,-0.81,0.4154,2plus_portfolio_2-4,294126,0.0961
q_relative::-5,-0.001002,0.001098,-0.91,0.3618,2plus_portfolio_2-4,294126,0.0961
q_relative::-3,-0.000262,0.001113,-0.24,0.814,2plus_portfolio_2-4,294126,0.0961
q_relative::-2,0.002139,0.001235,1.73,0.0834,2plus_portfolio_2-4,294126,0.0961
q_relative::-1,-0.000103,0.001189,-0.09,0.9311,2plus_portfolio_2-4,294126,0.0961
q_relative::0,0.000249,0.001305,0.19,0.8486,2plus_portfolio_2-4,294126,0.0961
q_relative::1,0.002612,0.001318,1.98,0.0476,2plus_portfolio_2-4,294126,0.0961
q_relative::2,0.000398,0.00119,0.33,0.7378,2plus_portfolio_2-4,294126,0.0961
q_relative::3,0.002035,0.001241,1.64,0.101,2plus_portfolio_2-4,294126,0.0961
q_relative::4,0.002009,0.001201,1.67,0.0943,2plus_portfolio_2-4,294126,0.0961
q_relative::5,0.001653,0.001223,1.35,0.1764,2plus_portfolio_2-4,294126,0.0961
q_relative::6,0.002483,0.001238,2.01,0.045,2plus_portfolio_2-4,294126,0.0961
q_relative::7,0.004099,0.001289,3.18,0.0015,2plus_portfolio_2-4,294126,0.0961
q_relative::8,0.001122,0.001224,0.92,0.3595,2plus_portfolio_2-4,294126,0.0961
q_relative::9,0.001867,0.001262,1.48,0.1391,2plus_portfolio_2-4,294126,0.0961
q_relative::10,0.003067,0.001282,2.39,0.0167,2plus_portfolio_2-4,294126,0.0961
q_relative::11,0.001956,0.001258,1.55,0.12,2plus_portfolio_2-4,294126,0.0961
q_relative::12,0.001256,0.001288,0.97,0.3297,2plus_portfolio_2-4,294126,0.0961
q_relative::13,0.00229,0.001271,1.8,0.0715,2plus_portfolio_2-4,294126,0.0961
q_relative::14,0.001533,0.001256,1.22,0.2221,2plus_portfolio_2-4,294126,0.0961
q_relative::15,0.001625,0.001274,1.28,0.2021,2plus_portfolio_2-4,294126,0.0961
q_relative::16,0.002172,0.001314,1.65,0.0982,2plus_portfolio_2-4,294126,0.0961
q_relative::17,0.002172,0.001302,1.67,0.0952,2plus_portfolio_2-4,294126,0.0961
q_relative::18,0.000575,0.001283,0.45,0.6544,2plus_portfolio_2-4,294126,0.0961
q_relative::19,0.000444,0.001276,0.35,0.728,2plus_portfolio_2-4,294126,0.0961
q_relative::20,0.001676,0.001306,1.28,0.1994,2plus_portfolio_2-4,294126,0.0961
