q_relative,mean_rate,se,mean_filings,n
-12,0.0101074376113495,0.00024634819828808,0.0179101184200848,163148
-11,0.010089941277171,0.000246524279694339,0.0185562843337192,163287
-10,0.0102065613146808,0.000250911364554927,0.0174164122558576,163122
-9,0.0106160648522241,0.000252473333914782,0.0179818887451488,162330
-8,0.0102518964011958,0.000253052889100791,0.0175836536916402,161798
-7,0.0104612229365339,0.000250893004532867,0.0182587231297833,161238
-6,0.0108907812390433,0.000255314958069477,0.017679695006664,161315
-5,0.0114951452073482,0.000261399242612734,0.0195012234607875,161836
-4,0.0126632026156901,0.000276972780147118,0.0204967149942535,162709
-3,0.0133716053024496,0.000280373351559746,0.0208879993165481,163874
-2,0.0145164057993736,0.000291834608220345,0.0223790492979003,165646
-1,0.0106518229615654,0.000249815359363617,0.0178016472284259,169254
0,0.00782810319070922,0.000218127707617333,0.014972598974143,170979
1,0.00964563495782821,0.000235230367713459,0.0185848608164354,172506
2,0.0114200287879158,0.000252588204915079,0.0189653887388704,174423
3,0.0139905895259959,0.000274615540968349,0.0221145519072174,176671
4,0.0153344334526657,0.000286572913683137,0.0238180837677512,178016
5,0.0156303116293758,0.00030911700024996,0.0237311545894527,179553
6,0.0161798497317084,0.000303253143345317,0.0248883181010479,180647
7,0.0162683635832566,0.000318423697060488,0.0250212465370904,181206
8,0.0169222118315395,0.000324030559784631,0.0258873133999736,181672
9,0.016505612477541,0.000313809932571438,0.0253056785349402,182054
10,0.0167579267388663,0.000312567689385946,0.0257821123210491,182103
11,0.0172911686208093,0.000325381026755983,0.0264994943054395,181928
12,0.0162387089703067,0.00030219247375364,0.0252659647730967,181509
13,0.0164887141498783,0.000305226165931336,0.0260859014802233,181324
14,0.0162238425357831,0.000322777817912008,0.0260935876748967,180964
15,0.0159250233468684,0.000302540640762527,0.0253130887731353,180460
16,0.0163689970525983,0.000321242424474445,0.0261319102809973,179895
17,0.0166502449738072,0.00032195090369001,0.026204498726828,179473
18,0.015370964181935,0.000305492755443492,0.0243680598180905,179210
19,0.0161382302644287,0.000317949710103674,0.0252037057707333,179180
20,0.0164611891064852,0.000323178895667278,0.0253999799033126,179134
