term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.002535,0.00043,-5.89,0,size_1 unit,4652993,0.083
q_relative::-11,-0.002825,0.000437,-6.46,0,size_1 unit,4652993,0.083
q_relative::-10,-0.002402,0.000437,-5.5,0,size_1 unit,4652993,0.083
q_relative::-9,-0.001944,0.000434,-4.48,0,size_1 unit,4652993,0.083
q_relative::-8,-0.002681,0.000432,-6.21,0,size_1 unit,4652993,0.083
q_relative::-7,-0.002467,0.000425,-5.8,0,size_1 unit,4652993,0.083
q_relative::-6,-0.001883,0.000429,-4.39,0,size_1 unit,4652993,0.083
q_relative::-5,-0.001181,0.00043,-2.75,0.006,size_1 unit,4652993,0.083
q_relative::-3,0.000745,0.000445,1.68,0.0938,size_1 unit,4652993,0.083
q_relative::-2,0.002025,0.000453,4.47,0,size_1 unit,4652993,0.083
q_relative::-1,-0.002362,0.000419,-5.64,0,size_1 unit,4652993,0.083
q_relative::0,-0.005828,0.000397,-14.7,0,size_1 unit,4652993,0.083
q_relative::1,-0.004221,0.000418,-10.09,0,size_1 unit,4652993,0.083
q_relative::2,-0.002036,0.000432,-4.71,0,size_1 unit,4652993,0.083
q_relative::3,0.000697,0.000453,1.54,0.124,size_1 unit,4652993,0.083
q_relative::4,0.001943,0.000461,4.21,0,size_1 unit,4652993,0.083
q_relative::5,0.00215,0.00047,4.58,0,size_1 unit,4652993,0.083
q_relative::6,0.002724,0.000469,5.81,0,size_1 unit,4652993,0.083
q_relative::7,0.002847,0.000481,5.92,0,size_1 unit,4652993,0.083
q_relative::8,0.003575,0.000491,7.29,0,size_1 unit,4652993,0.083
q_relative::9,0.002888,0.000481,6.01,0,size_1 unit,4652993,0.083
q_relative::10,0.002946,0.000472,6.24,0,size_1 unit,4652993,0.083
q_relative::11,0.003595,0.000482,7.45,0,size_1 unit,4652993,0.083
q_relative::12,0.002303,0.000477,4.82,0,size_1 unit,4652993,0.083
q_relative::13,0.002428,0.00048,5.06,0,size_1 unit,4652993,0.083
q_relative::14,0.002191,0.000495,4.43,0,size_1 unit,4652993,0.083
q_relative::15,0.001678,0.000473,3.55,4e-04,size_1 unit,4652993,0.083
q_relative::16,0.002005,0.00048,4.18,0,size_1 unit,4652993,0.083
q_relative::17,0.002063,0.000475,4.35,0,size_1 unit,4652993,0.083
q_relative::18,0.000934,0.000472,1.98,0.048,size_1 unit,4652993,0.083
q_relative::19,0.001812,0.00049,3.7,2e-04,size_1 unit,4652993,0.083
q_relative::20,0.002065,0.000489,4.22,0,size_1 unit,4652993,0.083
q_relative::-12,-9.6e-05,0.000645,-0.15,0.882,size_2-4 units,988855,0.0668
