PID,grantee_upper,owner_group_id,total_consideration,pid_in_bldg_panel,n_deeds_rtt,n_pids_rtt,n_pids_owner
461174000,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
121157300,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
885313100,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
232227300,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
405842300,CITY OF PHILADELPHIA,335,143000,FALSE,1236,1216,1215
071418300,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
252455000,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
121054400,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
492186000,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
232282100,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
871529250,CITY OF PHILADELPHIA,335,800,FALSE,1236,1216,1215
884244700,LAFAYETTE REALTY AND DEVELOPME,405,8e+05,FALSE,1,1,1
301231500,DARWEIS INC,651,10000,TRUE,30,29,29
422275700,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,20000,FALSE,1887,1866,1852
272136100,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,70000,FALSE,1887,1866,1852
172322200,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,15200,FALSE,1887,1866,1852
452104500,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,25000,TRUE,1887,1866,1852
433186400,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,3800,TRUE,1887,1866,1852
406089300,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,6100,TRUE,1887,1866,1852
452278700,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,5000,TRUE,1887,1866,1852
621170100,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,10000,TRUE,1887,1866,1852
502219280,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,40000,FALSE,1887,1866,1852
871602075,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,7800,FALSE,1887,1866,1852
482351500,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,5200,TRUE,1887,1866,1852
491466300,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,20000,TRUE,1887,1866,1852
491079200,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,25000,TRUE,1887,1866,1852
223036200,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,17000,FALSE,1887,1866,1852
542055200,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,55000,TRUE,1887,1866,1852
493174100,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,37800,TRUE,1887,1866,1852
582521456,FEDERAL NATIONAL MORTGAGE ASSOCIATION,770,95000,FALSE,1887,1866,1852
121181200,BANK OF NEW YORK TR,787,10200,FALSE,566,560,537
123035400,BANK OF NEW YORK TR,787,25000,TRUE,566,560,537
043089600,BANK OF NEW YORK TR,787,8400,TRUE,566,560,537
033200700,BANK OF NEW YORK TR,787,6400,TRUE,566,560,537
884276500,PIDC FINANCING CORPORATION,801,1180000,FALSE,63,62,62
182176700,PIDC FINANCING CORPORATION,801,3800000,TRUE,63,62,62
122104900,HABANA ACQUISITIONS CORP,839,5000,FALSE,3,3,10
351341400,COUNTRYWIDE HOME LOANS INC,1075,3800,FALSE,354,353,349
123163600,MIDFIRST BANK,1076,14700,TRUE,470,458,457
622302600,MIDFIRST BANK,1076,11700,TRUE,470,458,457
123178600,MIDFIRST BANK,1076,4600,FALSE,470,458,457
621009900,MIDFIRST BANK,1076,20000,TRUE,470,458,457
033020800,COLUMBIA NATIONAL INC,1077,15000,FALSE,113,113,114
343161000,FIRST UNION NATIONAL BANK TR,1078,13000,FALSE,238,235,233
314060900,FIRST UNION NATIONAL BANK TR,1078,5700,TRUE,238,235,233
341236800,WILLIAM LEE CORP,1202,12500,TRUE,2,2,4
102426700,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,60000,FALSE,1031,1023,1018
621337800,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,4600,FALSE,1031,1023,1018
232031900,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,10100,TRUE,1031,1023,1018
411015300,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,6200,TRUE,1031,1023,1018
452092100,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,4200,TRUE,1031,1023,1018
071132500,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,4800,TRUE,1031,1023,1018
161015400,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,20100,TRUE,1031,1023,1018
592287800,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,21000,TRUE,1031,1023,1018
621586100,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,20000,TRUE,1031,1023,1018
222102000,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,35000,FALSE,1031,1023,1018
621369800,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,10000,TRUE,1031,1023,1018
351124600,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,3700,FALSE,1031,1023,1018
531240300,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,25000,TRUE,1031,1023,1018
552134100,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,5400,TRUE,1031,1023,1018
411030100,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,3600,TRUE,1031,1023,1018
401316100,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,20000,TRUE,1031,1023,1018
411148700,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,3000,FALSE,1031,1023,1018
411287300,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,3800,TRUE,1031,1023,1018
311234700,SECRETARY OF HOUSING AND URBAN DEVELOPME,1214,3100,TRUE,1031,1023,1018
364402600,SOURCE ONE PROPERTIES INC,1355,21900,TRUE,92,90,97
101010500,SOURCE ONE PROPERTIES INC,1355,11000,FALSE,92,90,97
313078700,NINE LLC,1364,20000,TRUE,24,24,23
481312700,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,20000,FALSE,1020,1010,1034
521194200,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,63000,TRUE,1020,1010,1034
572229900,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,40000,FALSE,1020,1010,1034
631289500,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,2756.32,TRUE,1020,1010,1034
162264900,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,14600,TRUE,1020,1010,1034
393414700,FEDERAL HOME LOAN MORTGAGE CORPORATION,1617,4500,TRUE,1020,1010,1034
532198000,AAMES CAPITAL CORPORATION,1737,21100,TRUE,22,22,31
522145600,BANKERS TRUST COMPANY OF CALIFORNIA N A,1797,12500,TRUE,233,233,233
421294100,EMC MORTGAGE CORPORATION,1819,4400,FALSE,327,325,340
622111600,EMC MORTGAGE CORPORATION,1819,5400,TRUE,327,325,340
332501500,EMC MORTGAGE CORPORATION,1819,25000,TRUE,327,325,340
111015300,EMC MORTGAGE CORPORATION,1819,14900,TRUE,327,325,340
511240000,OCWEN FEDERAL BANK FSB,1963,11900,TRUE,206,203,194
031046500,OCWEN FEDERAL BANK FSB,1963,5600,TRUE,206,203,194
232117210,COMMUNITY DEVELOPMENT CORPORATION OF FRA,1996,16250,FALSE,4,4,4
132410500,GMAC MORTGAGE CORPORATION,2152,3800,TRUE,144,142,249
663380900,STATE STREET BANK AND TRUST COMPANY,2367,50000,FALSE,10,10,11
324022900,HOMECOMINGS FINANCIAL NETWORK INC,2506,10100,FALSE,115,113,125
461135500,HOMECOMINGS FINANCIAL NETWORK INC,2506,60000,TRUE,115,113,125
591206800,R E ASSOCIATES INC,2531,38500,FALSE,71,71,83
102466300,GE CAPITAL MORTGAGE SERVICES INC,2540,10500,FALSE,35,35,36
152208200,SPARKLE CITY REALTY INC,2574,17500,TRUE,26,26,26
411271900,EQUESTRIAN ESTATES DEVELOPMENT CORP,2642,6900,TRUE,1,1,1
452301000,SECRETARY OF HOUSING & URBAN DEVELOPMENT,2728,3300,TRUE,70,70,70
403034400,AMERICAN GENERAL FINANCE INC,2735,11300,FALSE,7,7,7
511042000,STATE STREET BANK AND TRUST COMPANY TR,2837,26000,TRUE,25,25,26
311094500,LAWNDALE EQUITIES INC,2992,15100,TRUE,216,216,199
541094200,LAWNDALE EQUITIES INC,2992,34500,TRUE,216,216,199
251101800,LAWNDALE EQUITIES INC,2992,18000,TRUE,216,216,199
622181200,LAWNDALE EQUITIES INC,2992,31000,FALSE,216,216,199
233057100,LAWNDALE EQUITIES INC,2992,31000,TRUE,216,216,199
492198700,BENEFICIAL MORTGAGE CORPORATION,3140,15500,TRUE,11,10,11
871562180,EQUITY ONE INC,3205,22600,TRUE,57,57,66
252318400,PRINCIPAL EQUITIES INC,3240,24000,TRUE,45,45,42
884000103,PS PENNSYLVANIA TRUST,3332,3100000,FALSE,3,3,3
871602290,R & K REALTY ENTERPRISE L L C,3491,33600,TRUE,2,2,3
012029800,QUEEN VILLAGE DEVELOPMENT L P,3909,93000,TRUE,32,32,38
621066000,FLEET MORTGAGE CORP,4054,4700,FALSE,41,41,52
452073200,FLEET MORTGAGE CORP,4054,9300,FALSE,41,41,52
181366015,HOMESIDE LENDING INC,4056,6000,TRUE,99,99,96
422091900,HOMESIDE LENDING INC,4056,3100,FALSE,99,99,96
604178300,BANKERS TRUST COMPANY OF CALIFORNIA,4176,6600,TRUE,46,46,45
241192500,DREXEL PROPERTY GROUP LLC,4601,120000,TRUE,8,8,21
582444900,HARRIS TRUST AND SAVINGS BANK TR,4720,7700,FALSE,10,10,9
011021000,EASY LIVING DEVELOPMENT LLP,4811,107500,FALSE,17,17,22
642139100,NATIONAL CITY MORTGAGE INC,4888,120000,TRUE,1,1,79
621439900,ALTEGRA CREDIT COMPANY,5046,20000,TRUE,52,52,53
406037900,SECRETARY OF HOUSING AND URBAN DEVELOP,5473,15000,FALSE,158,157,155
411093400,SECRETARY OF HOUSING AND URBAN DEVELOP,5473,3400,TRUE,158,157,155
433049900,SECRETARY OF HOUSING AND URBAN DEVELOP,5473,4100,FALSE,158,157,155
881607615,CAMPUS REALTY PROPERTIES III L P,5637,2450000,TRUE,11,11,21
071485200,MELLON BANK N A,5733,3500,TRUE,26,26,26
232032300,MANUFACTURERS AND TRADERS TRUST COMPANY,6100,25000,TRUE,61,61,61
622157425,HELPING HOMES INC,6167,23500,TRUE,4,4,4
171346300,LASALLE NATIONAL BANK TR,6281,48400,TRUE,57,57,56
403328000,AURORA LOAN SERVICES,6480,10000,TRUE,12,12,238
351026700,AURORA LOAN SERVICES INC,6480,75000,TRUE,139,138,238
133036600,AURORA LOAN SERVICES INC,6480,85000,TRUE,139,138,238
101155900,AURORA LOAN SERVICES INC,6480,4900,FALSE,139,138,238
612305100,P C J PROPERTIES LLC,6909,22500,FALSE,2,2,2
452159900,SILVERWOOD REAL ESTATE LTD,6939,23935,TRUE,6,6,6
871505710,PARTNERSHIP CDC,7099,22300,TRUE,38,37,34
882244700,ASSOCIATION FOR INDEPENDENT GROWTH INC,7925,242475,FALSE,21,21,23
514154600,FIRST NATIONAL BANK OF CHICAGO TR,8028,17000,TRUE,18,18,17
502058100,BENEFICIAL CONSUMER DISCOUNT COMPANY; BENEFICIAL MORTGAGE COMPANY OF PA,8220,11300,FALSE,6,6,7
132301300,J A PROPERTIES LLC,8655,6000,TRUE,10,10,10
331442500,LANDVEST LLP,8732,10000,TRUE,3,3,9
401021800,1; CHASE MANHATTAN BANK TR,8995,4900,TRUE,1,1,1
382027800,U S BANK NATIONAL ASSOCIATION TR,9655,6600,FALSE,687,675,650
041235600,WELLS FARGO HOME MORTGAGE INC,10944,6900,TRUE,123,122,128
511064300,HOUSEHOLD FINANCE CONSUMER DISCOUNT COMPANY,11088,3700,FALSE,120,118,126
364134500,HOUSEHOLD FINANCE CONSUMER DISCOUNT COMPANY,11088,4800,TRUE,120,118,126
012125200,HV HOMES INC,11513,27000,FALSE,138,137,136
561157200,LEVEL II BUILDERS INC,11837,55000,FALSE,2,2,2
612211300,CITICORP MORTGAGE INC; CITIMORTGAGE INC,12316,7300,FALSE,51,50,49
612001600,CITICORP MORTGAGE INC; CITIMORTGAGE INC,12316,8700,FALSE,51,50,49
882927545,J & C WHOLESALE MEATS INC,12712,170000,FALSE,2,2,2
