term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.005963,0.013793,-0.43,0.6656,sunab_5plus,46512,0.3854
q_relative::-11,-0.003775,0.012032,-0.31,0.7538,sunab_5plus,46512,0.3854
q_relative::-10,-0.005217,0.010391,-0.5,0.6157,sunab_5plus,46512,0.3854
q_relative::-9,-0.002194,0.008749,-0.25,0.802,sunab_5plus,46512,0.3854
q_relative::-8,-0.001196,0.00698,-0.17,0.8639,sunab_5plus,46512,0.3854
q_relative::-7,2.2e-05,0.005299,0,0.9966,sunab_5plus,46512,0.3854
q_relative::-6,-0.001557,0.003706,-0.42,0.6744,sunab_5plus,46512,0.3854
q_relative::-5,0.000439,0.002304,0.19,0.8489,sunab_5plus,46512,0.3854
q_relative::-3,-0.000227,0.001857,-0.12,0.9029,sunab_5plus,46512,0.3854
q_relative::-2,0.002999,1.454667,0,0.9984,sunab_5plus,46512,0.3854
q_relative::-1,-0.00164,7.937022,0,0.9998,sunab_5plus,46512,0.3854
q_relative::0,-0.002224,7.895489,0,0.9998,sunab_5plus,46512,0.3854
q_relative::1,-0.000298,7.849628,0,1,sunab_5plus,46512,0.3854
q_relative::2,0.001454,7.901379,0,0.9999,sunab_5plus,46512,0.3854
q_relative::3,-0.000528,8.09334,0,0.9999,sunab_5plus,46512,0.3854
q_relative::4,0.000515,8.109663,0,0.9999,sunab_5plus,46512,0.3854
q_relative::5,0.002695,8.170725,0,0.9997,sunab_5plus,46512,0.3854
q_relative::6,0.00112,8.346641,0,0.9999,sunab_5plus,46512,0.3854
q_relative::7,0.00348,8.554753,0,0.9997,sunab_5plus,46512,0.3854
q_relative::8,0.002769,8.698132,0,0.9997,sunab_5plus,46512,0.3854
q_relative::9,0.001979,8.858236,0,0.9998,sunab_5plus,46512,0.3854
q_relative::10,0.005437,9.155797,0,0.9995,sunab_5plus,46512,0.3854
q_relative::11,0.007473,9.377907,0,0.9994,sunab_5plus,46512,0.3854
q_relative::12,0.007805,9.626436,0,0.9994,sunab_5plus,46512,0.3854
q_relative::13,0.005273,9.879343,0,0.9996,sunab_5plus,46512,0.3854
q_relative::14,0.007802,10.268743,0,0.9994,sunab_5plus,46512,0.3854
q_relative::15,0.009018,10.843528,0,0.9993,sunab_5plus,46512,0.3854
q_relative::16,0.006937,11.313004,0,0.9995,sunab_5plus,46512,0.3854
q_relative::17,0.00929,11.87306,0,0.9994,sunab_5plus,46512,0.3854
q_relative::18,0.008965,12.26037,0,0.9994,sunab_5plus,46512,0.3854
q_relative::19,0.006193,12.569882,0,0.9996,sunab_5plus,46512,0.3854
q_relative::20,0.005953,13.005036,0,0.9996,sunab_5plus,46512,0.3854
q_relative::-12,0.001252,0.013317,0.09,0.9251,twfe_5plus_single,46533,0.371
q_relative::-11,0.002358,0.01188,0.2,0.8427,twfe_5plus_single,46533,0.371
q_relative::-10,0.000268,0.010125,0.03,0.9789,twfe_5plus_single,46533,0.371
q_relative::-9,0.001878,0.008556,0.22,0.8263,twfe_5plus_single,46533,0.371
q_relative::-8,0.001605,0.006855,0.23,0.815,twfe_5plus_single,46533,0.371
q_relative::-7,0.002059,0.005173,0.4,0.6906,twfe_5plus_single,46533,0.371
q_relative::-6,6.5e-05,0.003578,0.02,0.9854,twfe_5plus_single,46533,0.371
q_relative::-5,0.001372,0.002146,0.64,0.5225,twfe_5plus_single,46533,0.371
q_relative::-3,-0.000507,0.002017,-0.25,0.8014,twfe_5plus_single,46533,0.371
q_relative::-2,0.001588,0.003499,0.45,0.65,twfe_5plus_single,46533,0.371
q_relative::-1,0.000205,0.005083,0.04,0.9678,twfe_5plus_single,46533,0.371
q_relative::0,-0.000743,0.00672,-0.11,0.912,twfe_5plus_single,46533,0.371
q_relative::1,0.001669,0.00809,0.21,0.8366,twfe_5plus_single,46533,0.371
q_relative::2,0.003341,0.009676,0.35,0.7299,twfe_5plus_single,46533,0.371
q_relative::3,0.000142,0.011315,0.01,0.99,twfe_5plus_single,46533,0.371
q_relative::4,0.000452,0.012961,0.03,0.9722,twfe_5plus_single,46533,0.371
q_relative::5,0.002604,0.014503,0.18,0.8575,twfe_5plus_single,46533,0.371
q_relative::6,0.000869,0.016253,0.05,0.9574,twfe_5plus_single,46533,0.371
q_relative::7,0.001508,0.018002,0.08,0.9332,twfe_5plus_single,46533,0.371
q_relative::8,0.001165,0.019438,0.06,0.9522,twfe_5plus_single,46533,0.371
q_relative::9,0.000562,0.021397,0.03,0.979,twfe_5plus_single,46533,0.371
q_relative::10,0.002529,0.022848,0.11,0.9119,twfe_5plus_single,46533,0.371
q_relative::11,0.003656,0.024239,0.15,0.8801,twfe_5plus_single,46533,0.371
q_relative::12,0.002696,0.025837,0.1,0.9169,twfe_5plus_single,46533,0.371
q_relative::13,0.000631,0.027883,0.02,0.9819,twfe_5plus_single,46533,0.371
q_relative::14,0.002366,0.029329,0.08,0.9357,twfe_5plus_single,46533,0.371
q_relative::15,0.001719,0.031031,0.06,0.9558,twfe_5plus_single,46533,0.371
q_relative::16,4.3e-05,0.032851,0,0.999,twfe_5plus_single,46533,0.371
q_relative::17,0.002187,0.034534,0.06,0.9495,twfe_5plus_single,46533,0.371
q_relative::18,0.002245,0.036248,0.06,0.9506,twfe_5plus_single,46533,0.371
q_relative::19,7.3e-05,0.037709,0,0.9985,twfe_5plus_single,46533,0.371
q_relative::20,0.000392,0.039485,0.01,0.9921,twfe_5plus_single,46533,0.371
