event_time,buyer_type,mean_filing_rate,mean_violations,n
-3,Corporate,0.0413508960297283,0.440365942639053,53451
-3,Individual,0.0292603931338526,0.285628089843902,102756
-2,Corporate,0.0400482331914601,0.491982648437197,51638
-2,Individual,0.0313231798891811,0.341287528587417,102755
-1,Corporate,0.0417434622276582,0.56759585387944,49685
-1,Individual,0.0405032981981395,0.397119204351678,104971
0,Corporate,0.0445806600284081,0.696062197092084,49520
0,Individual,0.0282574130885087,0.372765631676399,112336
1,Corporate,0.0719257035828998,0.594558670820353,48150
1,Individual,0.0384941359568547,0.293524783700577,119857
2,Corporate,0.0818572903016207,0.463406136358687,45923
2,Individual,0.0462393998709512,0.275408130601793,124960
3,Corporate,0.0841168399503886,0.401492953816102,43002
3,Individual,0.0449834126201462,0.272298994974874,127360
4,Corporate,0.0776920810759786,0.379765248796148,39872
4,Individual,0.0458863451524922,0.279138366000388,128825
5,Corporate,0.0784692972970307,0.369247140196861,37590
5,Individual,0.044415529447346,0.27697791982299,130162
