term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,0.068692,0.001524,45.06,0,license_entry_full,793659,0.5026
event_time::-2,0.041282,0.001202,34.34,0,license_entry_full,793659,0.5026
event_time::0,0.015886,0.00167,9.51,0,license_entry_full,793659,0.5026
event_time::1,0.061718,0.00201,30.7,0,license_entry_full,793659,0.5026
event_time::2,0.101475,0.002031,49.96,0,license_entry_full,793659,0.5026
event_time::3,0.118857,0.002058,57.76,0,license_entry_full,793659,0.5026
event_time::4,0.127989,0.002104,60.83,0,license_entry_full,793659,0.5026
event_time::5,0.134475,0.002132,63.08,0,license_entry_full,793659,0.5026
event_time::-3,0.095004,0.002478,38.34,0,license_entry_corp,317032,0.4882
event_time::-2,0.052111,0.001921,27.13,0,license_entry_corp,317032,0.4882
event_time::0,0.088711,0.002768,32.05,0,license_entry_corp,317032,0.4882
event_time::1,0.168343,0.003241,51.94,0,license_entry_corp,317032,0.4882
event_time::2,0.202209,0.003336,60.61,0,license_entry_corp,317032,0.4882
event_time::3,0.209341,0.003446,60.76,0,license_entry_corp,317032,0.4882
event_time::4,0.207778,0.003631,57.22,0,license_entry_corp,317032,0.4882
event_time::5,0.201439,0.003855,52.25,0,license_entry_corp,317032,0.4882
event_time::-3,0.054839,0.002022,27.12,0,license_entry_indiv,470508,0.5304
event_time::-2,0.035707,0.001596,22.37,0,license_entry_indiv,470508,0.5304
event_time::0,-0.032882,0.002194,-14.99,0,license_entry_indiv,470508,0.5304
event_time::1,-0.013219,0.002662,-4.97,0,license_entry_indiv,470508,0.5304
event_time::2,0.030953,0.002699,11.47,0,license_entry_indiv,470508,0.5304
event_time::3,0.055527,0.002755,20.15,0,license_entry_indiv,470508,0.5304
event_time::4,0.071992,0.002842,25.33,0,license_entry_indiv,470508,0.5304
event_time::5,0.085378,0.002901,29.43,0,license_entry_indiv,470508,0.5304
event_time::-3,0.009881,0.001218,8.11,0,altos_entry_full,793659,0.4059
event_time::-2,0.003945,0.001058,3.73,2e-04,altos_entry_full,793659,0.4059
event_time::0,0.07685,0.001303,58.98,0,altos_entry_full,793659,0.4059
event_time::1,0.084361,0.001404,60.07,0,altos_entry_full,793659,0.4059
event_time::2,0.050898,0.001355,37.55,0,altos_entry_full,793659,0.4059
event_time::3,0.040082,0.001341,29.9,0,altos_entry_full,793659,0.4059
event_time::4,0.03277,0.001332,24.6,0,altos_entry_full,793659,0.4059
event_time::5,0.028247,0.001321,21.38,0,altos_entry_full,793659,0.4059
event_time::-3,0.060231,0.001501,40.13,0,any_rental_entry_full,793659,0.4961
event_time::-2,0.035163,0.001178,29.84,0,any_rental_entry_full,793659,0.4961
event_time::0,0.041848,0.001599,26.17,0,any_rental_entry_full,793659,0.4961
event_time::1,0.07467,0.001953,38.23,0,any_rental_entry_full,793659,0.4961
event_time::2,0.10417,0.001982,52.55,0,any_rental_entry_full,793659,0.4961
event_time::3,0.117665,0.002013,58.44,0,any_rental_entry_full,793659,0.4961
event_time::4,0.124099,0.002057,60.33,0,any_rental_entry_full,793659,0.4961
event_time::5,0.129096,0.002084,61.93,0,any_rental_entry_full,793659,0.4961
event_time::-3,0.087513,0.002499,35.02,0,any_rental_entry_corp,317032,0.4699
event_time::-2,0.04709,0.00197,23.9,0,any_rental_entry_corp,317032,0.4699
event_time::0,0.112996,0.002701,41.84,0,any_rental_entry_corp,317032,0.4699
event_time::1,0.188878,0.003153,59.9,0,any_rental_entry_corp,317032,0.4699
event_time::2,0.212267,0.003249,65.34,0,any_rental_entry_corp,317032,0.4699
event_time::3,0.215044,0.003368,63.84,0,any_rental_entry_corp,317032,0.4699
event_time::4,0.209233,0.003557,58.83,0,any_rental_entry_corp,317032,0.4699
event_time::5,0.200522,0.003778,53.08,0,any_rental_entry_corp,317032,0.4699
event_time::-3,0.045014,0.001962,22.94,0,any_rental_entry_indiv,470508,0.5338
event_time::-2,0.028663,0.001528,18.76,0,any_rental_entry_indiv,470508,0.5338
event_time::0,-0.004967,0.002079,-2.39,0.0169,any_rental_entry_indiv,470508,0.5338
event_time::1,-0.004702,0.002581,-1.82,0.0686,any_rental_entry_indiv,470508,0.5338
event_time::2,0.029505,0.002625,11.24,0,any_rental_entry_indiv,470508,0.5338
event_time::3,0.050717,0.002681,18.92,0,any_rental_entry_indiv,470508,0.5338
event_time::4,0.065555,0.002761,23.74,0,any_rental_entry_indiv,470508,0.5338
event_time::5,0.077472,0.002816,27.51,0,any_rental_entry_indiv,470508,0.5338
