term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.010391,0.000628,-16.55,0,no_sheriff,1772969,0.1318
event_time::-2,-0.008485,0.000601,-14.12,0,no_sheriff,1772969,0.1318
event_time::0,-0.010631,0.000578,-18.38,0,no_sheriff,1772969,0.1318
event_time::1,-0.000236,0.000637,-0.37,0.7114,no_sheriff,1772969,0.1318
event_time::2,0.004676,0.000759,6.16,0,no_sheriff,1772969,0.1318
event_time::3,0.002941,0.000764,3.85,1e-04,no_sheriff,1772969,0.1318
event_time::4,0.00124,0.000736,1.69,0.092,no_sheriff,1772969,0.1318
event_time::5,0.000641,0.000745,0.86,0.3899,no_sheriff,1772969,0.1318
event_time::-3,-0.008754,0.000758,-11.54,0,single_transfer,1171384,0.1307
event_time::-2,-0.008303,0.000735,-11.29,0,single_transfer,1171384,0.1307
event_time::0,-0.003794,0.000765,-4.96,0,single_transfer,1171384,0.1307
event_time::1,0.012322,0.000936,13.16,0,single_transfer,1171384,0.1307
event_time::2,0.018061,0.000993,18.19,0,single_transfer,1171384,0.1307
event_time::3,0.018237,0.001002,18.21,0,single_transfer,1171384,0.1307
event_time::4,0.017528,0.001034,16.95,0,single_transfer,1171384,0.1307
event_time::5,0.014808,0.000989,14.97,0,single_transfer,1171384,0.1307
event_time::-3,-0.008099,0.001251,-6.47,0,count_outcome,1948502,0.6374
event_time::-2,-0.006795,0.001101,-6.17,0,count_outcome,1948502,0.6374
event_time::0,-0.009512,0.001123,-8.47,0,count_outcome,1948502,0.6374
event_time::1,0.0044,0.001319,3.33,9e-04,count_outcome,1948502,0.6374
event_time::2,0.012268,0.001701,7.21,0,count_outcome,1948502,0.6374
event_time::3,0.012379,0.002035,6.08,0,count_outcome,1948502,0.6374
event_time::4,0.011363,0.002105,5.4,0,count_outcome,1948502,0.6374
event_time::5,0.008414,0.001754,4.8,0,count_outcome,1948502,0.6374
event_time::-3,-0.118086,0.00448,-26.36,0,violations,1948502,0.1255
event_time::-2,-0.062454,0.004315,-14.47,0,violations,1948502,0.1255
event_time::0,0.022202,0.00429,5.18,0,violations,1948502,0.1255
event_time::1,-0.059259,0.00433,-13.69,0,violations,1948502,0.1255
event_time::2,-0.119656,0.004232,-28.27,0,violations,1948502,0.1255
event_time::3,-0.143031,0.004285,-33.38,0,violations,1948502,0.1255
event_time::4,-0.15148,0.004248,-35.66,0,violations,1948502,0.1255
event_time::5,-0.157276,0.004311,-36.48,0,violations,1948502,0.1255
event_time::-3,-0.00649,0.000729,-8.9,0,pre_covid,1466603,0.2247
event_time::-2,-0.006397,0.000697,-9.17,0,pre_covid,1466603,0.2247
event_time::0,-0.0083,0.000647,-12.84,0,pre_covid,1466603,0.2247
event_time::1,0.004796,0.000753,6.37,0,pre_covid,1466603,0.2247
event_time::2,0.011121,0.000825,13.47,0,pre_covid,1466603,0.2247
event_time::3,0.008741,0.000783,11.16,0,pre_covid,1466603,0.2247
event_time::4,0.006353,0.000845,7.52,0,pre_covid,1466603,0.2247
event_time::5,0.004444,0.000822,5.4,0,pre_covid,1466603,0.2247
