term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.007686,0.000864,-8.9,0,size_1 unit,1187899,0.2275
event_time::-2,-0.007506,0.000824,-9.11,0,size_1 unit,1187899,0.2275
event_time::0,-0.009694,0.00076,-12.75,0,size_1 unit,1187899,0.2275
event_time::1,0.004406,0.00089,4.95,0,size_1 unit,1187899,0.2275
event_time::2,0.0119,0.000977,12.18,0,size_1 unit,1187899,0.2275
event_time::3,0.00909,0.000922,9.86,0,size_1 unit,1187899,0.2275
event_time::4,0.006443,0.001001,6.43,0,size_1 unit,1187899,0.2275
event_time::5,0.004231,0.000972,4.35,0,size_1 unit,1187899,0.2275
event_time::-3,-0.001477,0.00111,-1.33,0.1834,size_2-4 units,257554,0.1735
event_time::-2,-0.00178,0.001119,-1.59,0.1117,size_2-4 units,257554,0.1735
event_time::0,-0.002674,0.001077,-2.48,0.013,size_2-4 units,257554,0.1735
event_time::1,0.006357,0.001196,5.32,0,size_2-4 units,257554,0.1735
event_time::2,0.007307,0.001223,5.97,0,size_2-4 units,257554,0.1735
event_time::3,0.006923,0.001241,5.58,0,size_2-4 units,257554,0.1735
event_time::4,0.005418,0.001244,4.35,0,size_2-4 units,257554,0.1735
event_time::5,0.005136,0.001248,4.12,0,size_2-4 units,257554,0.1735
event_time::-3,0.003164,0.003331,0.95,0.3424,size_5-9 units,12234,0.4934
event_time::-2,-0.000805,0.002287,-0.35,0.7249,size_5-9 units,12234,0.4934
event_time::0,0.002352,0.004053,0.58,0.5617,size_5-9 units,12234,0.4934
event_time::1,0.006846,0.005235,1.31,0.1911,size_5-9 units,12234,0.4934
event_time::2,0.012818,0.006195,2.07,0.0387,size_5-9 units,12234,0.4934
event_time::3,0.011855,0.007542,1.57,0.1162,size_5-9 units,12234,0.4934
event_time::4,0.012265,0.006185,1.98,0.0476,size_5-9 units,12234,0.4934
event_time::5,0.008028,0.006193,1.3,0.1951,size_5-9 units,12234,0.4934
event_time::-3,0.00068,0.005762,0.12,0.9062,size_10-19 units,3918,0.5796
event_time::-2,0.003993,0.004528,0.88,0.3782,size_10-19 units,3918,0.5796
event_time::0,-0.006217,0.004777,-1.3,0.1937,size_10-19 units,3918,0.5796
event_time::1,-0.004236,0.006062,-0.7,0.485,size_10-19 units,3918,0.5796
event_time::2,0.010997,0.006218,1.77,0.0775,size_10-19 units,3918,0.5796
event_time::3,-0.003212,0.005978,-0.54,0.5912,size_10-19 units,3918,0.5796
event_time::4,0.005577,0.006741,0.83,0.4085,size_10-19 units,3918,0.5796
event_time::5,0.002786,0.008348,0.33,0.7387,size_10-19 units,3918,0.5796
event_time::-3,0.001864,0.005818,0.32,0.7488,size_20+ units,4980,0.6202
event_time::-2,0.003702,0.004876,0.76,0.448,size_20+ units,4980,0.6202
event_time::0,0.006355,0.006097,1.04,0.2976,size_20+ units,4980,0.6202
event_time::1,0.011362,0.006888,1.65,0.0995,size_20+ units,4980,0.6202
event_time::2,0.00847,0.006926,1.22,0.2218,size_20+ units,4980,0.6202
event_time::3,0.014778,0.007613,1.94,0.0527,size_20+ units,4980,0.6202
event_time::4,0.015849,0.008193,1.93,0.0535,size_20+ units,4980,0.6202
event_time::5,0.011627,0.008142,1.43,0.1538,size_20+ units,4980,0.6202
