term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.13288,0.009434,-14.09,0,violations_corp,591037,0.1315
event_time::-2,-0.076922,0.009001,-8.55,0,violations_corp,591037,0.1315
event_time::0,0.120862,0.009584,12.61,0,violations_corp,591037,0.1315
event_time::1,0.026744,0.009812,2.73,0.0064,violations_corp,591037,0.1315
event_time::2,-0.098037,0.009714,-10.09,0,violations_corp,591037,0.1315
event_time::3,-0.146254,0.0102,-14.34,0,violations_corp,591037,0.1315
event_time::4,-0.17925,0.010212,-17.55,0,violations_corp,591037,0.1315
event_time::5,-0.19619,0.010883,-18.03,0,violations_corp,591037,0.1315
event_time::-3,-0.110474,0.004986,-22.16,0,violations_indiv,1355650,0.1065
event_time::-2,-0.054785,0.004984,-10.99,0,violations_indiv,1355650,0.1065
event_time::0,-0.024067,0.004785,-5.03,0,violations_indiv,1355650,0.1065
event_time::1,-0.098648,0.004716,-20.92,0,violations_indiv,1355650,0.1065
event_time::2,-0.130074,0.004683,-27.78,0,violations_indiv,1355650,0.1065
event_time::3,-0.142644,0.004677,-30.5,0,violations_indiv,1355650,0.1065
event_time::4,-0.142605,0.004733,-30.13,0,violations_indiv,1355650,0.1065
event_time::5,-0.145617,0.00478,-30.46,0,violations_indiv,1355650,0.1065
event_time::-3,-0.107076,0.003818,-28.05,0,violations_rate,1948502,0.1011
event_time::-2,-0.058098,0.003661,-15.87,0,violations_rate,1948502,0.1011
event_time::0,0.012314,0.00361,3.41,6e-04,violations_rate,1948502,0.1011
event_time::1,-0.061483,0.003647,-16.86,0,violations_rate,1948502,0.1011
event_time::2,-0.109414,0.003577,-30.59,0,violations_rate,1948502,0.1011
event_time::3,-0.129699,0.003571,-36.32,0,violations_rate,1948502,0.1011
event_time::4,-0.134464,0.003623,-37.11,0,violations_rate,1948502,0.1011
event_time::5,-0.139838,0.003647,-38.34,0,violations_rate,1948502,0.1011
